data,ghi,localidade,pais,lat,lon,endereco_localidade,fonte_localidade,fonte_coordenadas,metodo_coordenadas,osm_elemento,ano,fonte_dados,produto_dados,versao_dados,endpoint_api,intervalo_minutos,agregacao,unidade_ghi,lat_grade_nsrdb,lon_grade_nsrdb,site_id_nsrdb,source_nsrdb,timezone_nsrdb,elevacao_grade_m,ghi_unidade_api,data_coleta_utc
2019-01-01,341.6666666666667,BYD Camacari,Brasil,-12.6733774,-38.2812339,"Avenida Henry Ford, Polo Industrial, Camacari, Bahia, Brasil",https://www.byd.com/br/noticias-byd-brasil/byd-retoma-producao-em-camacari-e-chega-a-quase-20-mil-veiculos-.html,https://www.openstreetmap.org/way/319513382,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",way/319513382,2019,NLR/NSRDB,GOES Aggregated PSM v4,4.0.0;4.0.1;4.1.2.dev4+g3b38bc8.d20250228,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.csv,60,media_diaria,W/m2,-12.67,-38.3,2000061,NSRDB,-3,34,w/m2,2026-06-06T03:43:28.133809+00:00
2019-01-02,332.3333333333333,BYD Camacari,Brasil,-12.6733774,-38.2812339,"Avenida Henry Ford, Polo Industrial, Camacari, Bahia, Brasil",https://www.byd.com/br/noticias-byd-brasil/byd-retoma-producao-em-camacari-e-chega-a-quase-20-mil-veiculos-.html,https://www.openstreetmap.org/way/319513382,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",way/319513382,2019,NLR/NSRDB,GOES Aggregated PSM v4,4.0.0;4.0.1;4.1.2.dev4+g3b38bc8.d20250228,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.csv,60,media_diaria,W/m2,-12.67,-38.3,2000061,NSRDB,-3,34,w/m2,2026-06-06T03:43:28.133809+00:00
2019-01-03,341.0,BYD Camacari,Brasil,-12.6733774,-38.2812339,"Avenida Henry Ford, Polo Industrial, Camacari, Bahia, Brasil",https://www.byd.com/br/noticias-byd-brasil/byd-retoma-producao-em-camacari-e-chega-a-quase-20-mil-veiculos-.html,https://www.openstreetmap.org/way/319513382,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",way/319513382,2019,NLR/NSRDB,GOES Aggregated PSM v4,4.0.0;4.0.1;4.1.2.dev4+g3b38bc8.d20250228,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.csv,60,media_diaria,W/m2,-12.67,-38.3,2000061,NSRDB,-3,34,w/m2,2026-06-06T03:43:28.133809+00:00
2019-01-04,318.875,BYD Camacari,Brasil,-12.6733774,-38.2812339,"Avenida Henry Ford, Polo Industrial, Camacari, Bahia, Brasil",https://www.byd.com/br/noticias-byd-brasil/byd-retoma-producao-em-camacari-e-chega-a-quase-20-mil-veiculos-.html,https://www.openstreetmap.org/way/319513382,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",way/319513382,2019,NLR/NSRDB,GOES Aggregated PSM v4,4.0.0;4.0.1;4.1.2.dev4+g3b38bc8.d20250228,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.csv,60,media_diaria,W/m2,-12.67,-38.3,2000061,NSRDB,-3,34,w/m2,2026-06-06T03:43:28.133809+00:00
2019-01-05,318.2083333333333,BYD Camacari,Brasil,-12.6733774,-38.2812339,"Avenida Henry Ford, Polo Industrial, Camacari, Bahia, Brasil",https://www.byd.com/br/noticias-byd-brasil/byd-retoma-producao-em-camacari-e-chega-a-quase-20-mil-veiculos-.html,https://www.openstreetmap.org/way/319513382,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",way/319513382,2019,NLR/NSRDB,GOES Aggregated PSM v4,4.0.0;4.0.1;4.1.2.dev4+g3b38bc8.d20250228,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.csv,60,media_diaria,W/m2,-12.67,-38.3,2000061,NSRDB,-3,34,w/m2,2026-06-06T03:43:28.133809+00:00
2019-01-06,261.75,BYD Camacari,Brasil,-12.6733774,-38.2812339,"Avenida Henry Ford, Polo Industrial, Camacari, Bahia, Brasil",https://www.byd.com/br/noticias-byd-brasil/byd-retoma-producao-em-camacari-e-chega-a-quase-20-mil-veiculos-.html,https://www.openstreetmap.org/way/319513382,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",way/319513382,2019,NLR/NSRDB,GOES Aggregated PSM v4,4.0.0;4.0.1;4.1.2.dev4+g3b38bc8.d20250228,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.csv,60,media_diaria,W/m2,-12.67,-38.3,2000061,NSRDB,-3,34,w/m2,2026-06-06T03:43:28.133809+00:00
2019-01-07,251.41666666666666,BYD Camacari,Brasil,-12.6733774,-38.2812339,"Avenida Henry Ford, Polo Industrial, Camacari, Bahia, Brasil",https://www.byd.com/br/noticias-byd-brasil/byd-retoma-producao-em-camacari-e-chega-a-quase-20-mil-veiculos-.html,https://www.openstreetmap.org/way/319513382,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",way/319513382,2019,NLR/NSRDB,GOES Aggregated PSM v4,4.0.0;4.0.1;4.1.2.dev4+g3b38bc8.d20250228,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.csv,60,media_diaria,W/m2,-12.67,-38.3,2000061,NSRDB,-3,34,w/m2,2026-06-06T03:43:28.133809+00:00
2019-01-08,274.625,BYD Camacari,Brasil,-12.6733774,-38.2812339,"Avenida Henry Ford, Polo Industrial, Camacari, Bahia, Brasil",https://www.byd.com/br/noticias-byd-brasil/byd-retoma-producao-em-camacari-e-chega-a-quase-20-mil-veiculos-.html,https://www.openstreetmap.org/way/319513382,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",way/319513382,2019,NLR/NSRDB,GOES Aggregated PSM v4,4.0.0;4.0.1;4.1.2.dev4+g3b38bc8.d20250228,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.csv,60,media_diaria,W/m2,-12.67,-38.3,2000061,NSRDB,-3,34,w/m2,2026-06-06T03:43:28.133809+00:00
2019-01-09,287.9166666666667,BYD Camacari,Brasil,-12.6733774,-38.2812339,"Avenida Henry Ford, Polo Industrial, Camacari, Bahia, Brasil",https://www.byd.com/br/noticias-byd-brasil/byd-retoma-producao-em-camacari-e-chega-a-quase-20-mil-veiculos-.html,https://www.openstreetmap.org/way/319513382,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",way/319513382,2019,NLR/NSRDB,GOES Aggregated PSM v4,4.0.0;4.0.1;4.1.2.dev4+g3b38bc8.d20250228,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.csv,60,media_diaria,W/m2,-12.67,-38.3,2000061,NSRDB,-3,34,w/m2,2026-06-06T03:43:28.133809+00:00
2019-01-10,270.8333333333333,BYD Camacari,Brasil,-12.6733774,-38.2812339,"Avenida Henry Ford, Polo Industrial, Camacari, Bahia, Brasil",https://www.byd.com/br/noticias-byd-brasil/byd-retoma-producao-em-camacari-e-chega-a-quase-20-mil-veiculos-.html,https://www.openstreetmap.org/way/319513382,"Centroide do elemento da fabrica no OpenStreetMap/Nominatim, validado contra fonte oficial da empresa em 2026-06-06",way/319513382,2019,NLR/NSRDB,GOES Aggregated PSM v4,4.0.0;4.0.1;4.1.2.dev4+g3b38bc8.d20250228,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.csv,60,media_diaria,W/m2,-12.67,-38.3,2000061,NSRDB,-3,34,w/m2,2026-06-06T03:43:28.133809+00:00
