tarefa,resolucao,modelo,sementes_execucao,epocas_selecionadas_resumo,hiperparametros_declarados,fonte_configuracao,limitacao_sementes
daily_30,diaria,DilatedRNN,11;23;42;67;89,min=23; median=24; max=30,"{""batch_size_diario"":128,""dilated_dilatacoes"":[1,2,4],""dilated_dropout"":0.0,""dilated_unidades"":16,""dilated_unidades_densas"":16,""max_epocas_diario"":30,""paciencia_diario"":5,""peso_decay"":1e-05,""taxa_aprendizado"":0.001}",epocas_selecionadas.csv;hiperparametros_e_metodo.json,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos
daily_30,diaria,LSTM,11;23;42;67;89,min=19; median=27; max=30,"{""batch_size_diario"":128,""lstm_camadas"":1,""lstm_ocultos"":32,""max_epocas_diario"":30,""paciencia_diario"":5,""peso_decay"":1e-05,""taxa_aprendizado"":0.001}",epocas_selecionadas.csv;hiperparametros_e_metodo.json,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos
daily_30,diaria,TimesNet,11;23;42;67;89,min=3; median=4; max=5,"{""batch_size_diario"":128,""max_epocas_diario"":30,""paciencia_diario"":5,""peso_decay"":1e-05,""taxa_aprendizado"":0.001,""timesnet_blocos"":1,""timesnet_d_ff"":16,""timesnet_d_model"":8,""timesnet_dropout"":0.1,""timesnet_kernels"":2,""timesnet_top_k"":3}",epocas_selecionadas.csv;hiperparametros_e_metodo.json,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos
daily_30,diaria,XGBoost,11;23;42;67;89,Not applicable; tree count is a hyperparameter,"{""batch_size_diario"":128,""max_epocas_diario"":30,""paciencia_diario"":5,""peso_decay"":1e-05,""taxa_aprendizado"":0.001,""xgb_colsample"":0.8,""xgb_estimadores"":150,""xgb_estimadores_smoke"":2,""xgb_n_jobs"":1,""xgb_profundidade"":3,""xgb_subsample"":0.8,""xgb_taxa_aprendizado"":0.05}",epocas_selecionadas.csv;hiperparametros_e_metodo.json,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos
hourly_72_extension,horaria,DilatedRNN,42,min=14; median=14; max=14,"{""batch_size"":128,""dilatacoes"":[1,2,4],""dropout"":0.0,""embedding_localidade"":8,""max_epocas"":30,""paciencia"":5,""taxa_aprendizado"":0.001,""unidades_densas"":16,""unidades_por_camada"":16}",epocas_selecionadas.csv;hiperparametros_e_metodo.json,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes
hourly_72_extension,horaria,LSTM,42,Not recorded in this task artifact,"{""batch_size"":128,""max_epocas"":30,""paciencia"":5,""taxa_aprendizado"":0.001}",epocas_selecionadas.csv;hiperparametros_e_metodo.json,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes
hourly_72_extension,horaria,TimesNet,42,Not recorded in this task artifact,"{""batch_size"":128,""max_epocas"":30,""paciencia"":5,""taxa_aprendizado"":0.001}",epocas_selecionadas.csv;hiperparametros_e_metodo.json,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes
hourly_72_extension,horaria,XGBoost,42,Not applicable; tree count is a hyperparameter,"{""batch_size"":128,""max_epocas"":30,""paciencia"":5,""taxa_aprendizado"":0.001}",epocas_selecionadas.csv;hiperparametros_e_metodo.json,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes
monthly_1,mensal,DilatedRNN,11;23;42;67;89,min=37; median=58; max=91,"{""batch_size_mensal"":32,""dilated_dilatacoes"":[1,2,4],""dilated_dropout"":0.0,""dilated_unidades"":16,""dilated_unidades_densas"":16,""max_epocas_mensal"":300,""paciencia_mensal"":30,""peso_decay"":1e-05,""taxa_aprendizado"":0.001}",epocas_selecionadas.csv;hiperparametros_e_metodo.json,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos
monthly_1,mensal,LSTM,11;23;42;67;89,min=60; median=92; max=100,"{""batch_size_mensal"":32,""lstm_camadas"":1,""lstm_ocultos"":32,""max_epocas_mensal"":300,""paciencia_mensal"":30,""peso_decay"":1e-05,""taxa_aprendizado"":0.001}",epocas_selecionadas.csv;hiperparametros_e_metodo.json,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos
