tarefa,resolucao,limitacao_sementes,localidade,origem,horizonte,N_pontos,primeiro_alvo_local,ultimo_alvo_local,MAE_timesnet_wm2,MAE_dilatedrnn_wm2,ganho_timesnet_vs_dilatedrnn_wm2
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-01,1,1,2024-01-01 00:00:00,2024-01-01 00:00:00,29.573387712755505,44.738471876871756,15.165084164116251
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-02,1,1,2024-01-02 00:00:00,2024-01-02 00:00:00,117.68447762077841,99.52177442058391,-18.1627032001945
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-03,1,1,2024-01-03 00:00:00,2024-01-03 00:00:00,40.508489059135,68.55186665215439,28.043377593019386
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-04,1,1,2024-01-04 00:00:00,2024-01-04 00:00:00,25.210133429867398,48.911147722510975,23.701014292643578
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-05,1,1,2024-01-05 00:00:00,2024-01-05 00:00:00,33.50442548209588,56.060644675494416,22.556219193398533
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-06,1,1,2024-01-06 00:00:00,2024-01-06 00:00:00,30.41146843520994,48.466825549501806,18.055357114291866
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-07,1,1,2024-01-07 00:00:00,2024-01-07 00:00:00,111.00431384811583,92.32610739865945,-18.678206449456383
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-08,1,1,2024-01-08 00:00:00,2024-01-08 00:00:00,31.990349655474915,9.356649483665024,-22.633700171809892
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-09,1,1,2024-01-09 00:00:00,2024-01-09 00:00:00,20.20023902047359,44.46544306136792,24.265204040894332
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-10,1,1,2024-01-10 00:00:00,2024-01-10 00:00:00,29.122880297430697,8.491431663675883,-20.631448633754815
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-11,1,1,2024-01-11 00:00:00,2024-01-11 00:00:00,19.25566358933881,3.0868861528416005,-16.16877743649721
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-12,1,1,2024-01-12 00:00:00,2024-01-12 00:00:00,20.418572817508306,2.8305239516641336,-17.588048865844172
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-13,1,1,2024-01-13 00:00:00,2024-01-13 00:00:00,39.62029550856292,14.670031143144143,-24.950264365418775
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-14,1,1,2024-01-14 00:00:00,2024-01-14 00:00:00,33.564596673914394,58.26398205538899,24.6993853814746
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-15,1,1,2024-01-15 00:00:00,2024-01-15 00:00:00,31.676518934128666,54.08558717315208,22.409068239023412
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-16,1,1,2024-01-16 00:00:00,2024-01-16 00:00:00,30.674499610977733,49.72895892392978,19.054459312952048
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-17,1,1,2024-01-17 00:00:00,2024-01-17 00:00:00,11.426353422225276,27.79524012247606,16.368886700250783
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-18,1,1,2024-01-18 00:00:00,2024-01-18 00:00:00,55.95795893106185,41.713637818392186,-14.244321112669667
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-19,1,1,2024-01-19 00:00:00,2024-01-19 00:00:00,37.45745843710151,18.74761638626569,-18.709842050835817
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-01-20,1,1,2024-01-20 00:00:00,2024-01-20 00:00:00,42.31033301094595,22.042612558628946,-20.267720452317008
