tarefa,resolucao,carater_tarefa,tipo_horizonte,horizonte,posicao_MAE,modelo,tipo_estimativa,semente,N_sementes,limitacao_sementes,N_localidades,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2,agregacao
daily_30,diaria,principal,cumulativo,1,1,XGBoost,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,41.57914478392311,52.63139660718935,0.2542357726522105,0.5805067609594736,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,1,2,LSTM,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,42.0382116263398,53.56011314838322,0.2584019803950307,0.5670786450042552,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,1,3,TimesNet,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,43.19820704225918,54.42144377481121,0.2623140933549829,0.5465659145948323,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,1,4,DilatedRNN,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,43.2724100727806,53.882528901533895,0.2598576552488149,0.5585947505295084,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,1,5,Persistencia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,43.87172358113863,62.88235167844662,0.3059156433309334,0.4148078091801165,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,1,6,Climatologia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,45.7364490274718,58.86086198271014,0.2838244748909386,0.4757399481349519,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,1,7,Sazonal ingenuo,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,58.897465308554445,78.10592448525499,0.3772763997551293,0.0849185910236686,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,3,1,XGBoost,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,10110,43.09192220622772,54.13640103088015,0.2611977197374678,0.5542249513557073,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,3,2,LSTM,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,10110,43.13965559731899,54.71172084471624,0.2636438751295856,0.5462357002820598,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,cumulativo,3,3,TimesNet,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,10110,43.63303548427884,54.851329946669104,0.2642272903809026,0.5375316940391169,media_aritmetica_das_metricas_por_localidade
