data_local,localidade,latitude_fabrica,longitude_fabrica,precipitacao_corrigida_mm_dia,nebulosidade_percentual,irradiacao_all_sky_kwh_m2_dia,irradiacao_clear_sky_kwh_m2_dia,indice_all_sky_clear_sky,chuva_relevante,muito_nublado,condicao_adversa_independente,fonte_contexto,time_standard
2024-01-01,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,69.55,4.8614,5.2416,0.9274648962148961,False,False,False,NASA POWER Daily API,LST
2024-01-02,BMW San Luis Potosi,21.9682649,-100.8491733,0.01,98.4,2.515,5.1408,0.4892234671646437,False,True,True,NASA POWER Daily API,LST
2024-01-03,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,22.1,5.4137,5.436,0.995897718910964,False,False,False,NASA POWER Daily API,LST
2024-01-04,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,15.49,5.2718,5.351,0.9851990282190245,False,False,False,NASA POWER Daily API,LST
2024-01-05,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,11.82,5.3878,5.4468,0.9891679518249249,False,False,False,NASA POWER Daily API,LST
2024-01-06,BMW San Luis Potosi,21.9682649,-100.8491733,0.04,38.94,5.3563,5.4437,0.9839447434649228,False,False,False,NASA POWER Daily API,LST
2024-01-07,BMW San Luis Potosi,21.9682649,-100.8491733,0.12,88.74,1.8478,5.155,0.35844810863239573,False,True,True,NASA POWER Daily API,LST
2024-01-08,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,79.97,4.3723,5.3918,0.8109165770243704,False,False,False,NASA POWER Daily API,LST
2024-01-09,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,71.97,5.1084,5.4775,0.9326152441807393,False,False,False,NASA POWER Daily API,LST
2024-01-10,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,92.38,3.9802,5.4888,0.7251493951319049,False,True,True,NASA POWER Daily API,LST
2024-01-11,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,88.54,4.0272,5.4338,0.7411387978946593,False,True,True,NASA POWER Daily API,LST
2024-01-12,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,57.44,4.7539,5.5433,0.8575938520375949,False,False,False,NASA POWER Daily API,LST
2024-01-13,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,88.8,4.1285,5.3959,0.7651179599325413,False,True,True,NASA POWER Daily API,LST
2024-01-14,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,58.69,4.7424,5.609,0.8454983062934569,False,False,False,NASA POWER Daily API,LST
2024-01-15,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,7.69,5.555,5.5783,0.995823100227668,False,False,False,NASA POWER Daily API,LST
2024-01-16,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,38.27,5.135,5.5224,0.9298493408662899,False,False,False,NASA POWER Daily API,LST
2024-01-17,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,81.1,4.2302,5.467,0.7737698920797513,False,True,True,NASA POWER Daily API,LST
2024-01-18,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,97.37,3.4207,5.4502,0.6276283439139848,False,True,True,NASA POWER Daily API,LST
2024-01-19,BMW San Luis Potosi,21.9682649,-100.8491733,0.02,98.26,3.2448,5.3683,0.604437158877112,False,True,True,NASA POWER Daily API,LST
2024-01-20,BMW San Luis Potosi,21.9682649,-100.8491733,0.52,98.13,2.0513,5.0328,0.40758623430297247,False,True,True,NASA POWER Daily API,LST
2024-01-21,BMW San Luis Potosi,21.9682649,-100.8491733,0.21,79.26,4.1162,5.3066,0.7756755738137413,False,False,False,NASA POWER Daily API,LST
2024-01-22,BMW San Luis Potosi,21.9682649,-100.8491733,0.04,76.93,3.5186,5.4199,0.6492001697448293,False,False,False,NASA POWER Daily API,LST
2024-01-23,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,49.05,4.825,5.5908,0.8630249695929026,False,False,False,NASA POWER Daily API,LST
2024-01-24,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,54.65,5.2853,5.6738,0.9315273714265572,False,False,False,NASA POWER Daily API,LST
2024-01-25,BMW San Luis Potosi,21.9682649,-100.8491733,0.01,38.36,5.243,5.6858,0.9221217770586373,False,False,False,NASA POWER Daily API,LST
2024-01-26,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,3.41,5.857,5.8646,0.9987040889404222,False,False,False,NASA POWER Daily API,LST
2024-01-27,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,21.33,5.6698,5.8651,0.9667013350156008,False,False,False,NASA POWER Daily API,LST
2024-01-28,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,79.95,4.0402,5.7326,0.7047761923036667,False,False,False,NASA POWER Daily API,LST
2024-01-29,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,75.73,5.1218,5.8399,0.8770355656774945,False,False,False,NASA POWER Daily API,LST
2024-01-30,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,93.91,3.439,5.611,0.6129032258064516,False,True,True,NASA POWER Daily API,LST
2024-01-31,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,92.51,3.6626,5.4355,0.6738294545120044,False,True,True,NASA POWER Daily API,LST
2024-02-01,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,59.13,4.2019,5.6088,0.7491620310939953,False,False,False,NASA POWER Daily API,LST
2024-02-02,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,18.99,5.0467,5.9107,0.8538244201194444,False,False,False,NASA POWER Daily API,LST
