particao,Localidade,Modelo,horizonte_h,escopo,versao_previsao,N_previsoes,MAE_wm2,RMSE_wm2,nRMSE,nRMSE_percentual,R2
validacao_2023,BMW San Luis Potosi,Persistência,24,todas_horas,bruta,8712,46.43589302112029,108.74026124554048,0.43388430271578043,43.388430271578045,0.8940191984065544
validacao_2023,BMW San Luis Potosi,Persistência,24,todas_horas,pos_processada,8712,46.84418044077135,108.79421499126109,0.43409958345055843,43.40995834505584,0.8939140031509514
validacao_2023,BMW San Luis Potosi,Sazonal Ingênuo,24,todas_horas,bruta,8712,64.44777318640955,142.43255516521046,0.5683198584776133,56.83198584776134,0.8181702311401648
validacao_2023,BMW San Luis Potosi,Sazonal Ingênuo,24,todas_horas,pos_processada,8712,64.82019054178146,142.47219927209306,0.568478042350583,56.8478042350583,0.8180689975145754
validacao_2023,BMW San Luis Potosi,XGBoost,24,todas_horas,bruta,8712,47.536142017616726,94.32765835700208,0.3763766042517087,37.63766042517087,0.920251125469929
validacao_2023,BMW San Luis Potosi,XGBoost,24,todas_horas,pos_processada,8712,47.53186309685513,94.36641559629179,0.37653124943603866,37.65312494360386,0.9201855777557431
validacao_2023,BMW San Luis Potosi,LSTM,24,todas_horas,bruta,8712,51.41834062563693,98.41754480041949,0.3926956521127572,39.26956521127572,0.9131856517658901
validacao_2023,BMW San Luis Potosi,LSTM,24,todas_horas,pos_processada,8712,49.165193153159215,97.92066301723413,0.3907130450860668,39.07130450860668,0.9140600400968328
validacao_2023,BMW San Luis Potosi,TimesNet,24,todas_horas,bruta,8712,49.6296935426206,94.63299232454426,0.37759491671560225,37.75949167156023,0.9197340035434342
validacao_2023,BMW San Luis Potosi,TimesNet,24,todas_horas,pos_processada,8712,46.08616834175448,94.47741601279722,0.37697415197981565,37.69741519798156,0.9199977006471115
validacao_2023,BMW San Luis Potosi,Persistência,24,diurno_elevacao_gt_0,bruta,4372,92.3397758462946,153.4960465634636,0.30797716923272556,30.797716923272556,0.7621538331022752
validacao_2023,BMW San Luis Potosi,Persistência,24,diurno_elevacao_gt_0,pos_processada,4372,92.3397758462946,153.4960465634636,0.30797716923272556,30.797716923272556,0.7621538331022752
validacao_2023,BMW San Luis Potosi,Sazonal Ingênuo,24,diurno_elevacao_gt_0,bruta,4372,128.1602241537054,201.05569373453244,0.40340168232855306,40.340168232855305,0.5919301379860125
validacao_2023,BMW San Luis Potosi,Sazonal Ingênuo,24,diurno_elevacao_gt_0,pos_processada,4372,128.1602241537054,201.05569373453244,0.40340168232855306,40.340168232855305,0.5919301379860125
validacao_2023,BMW San Luis Potosi,XGBoost,24,diurno_elevacao_gt_0,bruta,4372,93.71333936367338,133.11736914710195,0.2670890322160954,26.708903221609543,0.821116114316467
validacao_2023,BMW San Luis Potosi,XGBoost,24,diurno_elevacao_gt_0,pos_processada,4372,93.71010779958873,133.11712408085188,0.26708854051085834,26.708854051085833,0.8211167729587312
validacao_2023,BMW San Luis Potosi,LSTM,24,diurno_elevacao_gt_0,bruta,4372,97.68583298999157,138.43154005967702,0.27775147826024865,27.775147826024867,0.8065486035169449
validacao_2023,BMW San Luis Potosi,LSTM,24,diurno_elevacao_gt_0,pos_processada,4372,96.96481307189457,138.13775065061924,0.2771620140194562,27.71620140194562,0.8073688452458294
validacao_2023,BMW San Luis Potosi,TimesNet,24,diurno_elevacao_gt_0,bruta,4372,90.83906488221655,133.27474858145564,0.267404801082935,26.7404801082935,0.820692889506555
validacao_2023,BMW San Luis Potosi,TimesNet,24,diurno_elevacao_gt_0,pos_processada,4372,90.82929976975413,133.27392387895202,0.26740314638531765,26.740314638531764,0.820695108600074
validacao_2023,BYD Camacari,Persistência,24,todas_horas,bruta,8712,54.33189853076217,119.35828630970585,0.5047084912176047,50.47084912176047,0.8542826859270705
validacao_2023,BYD Camacari,Persistência,24,todas_horas,pos_processada,8712,54.82977502295684,119.42482391652547,0.5049898465904527,50.49898465904526,0.8541201771623546
validacao_2023,BYD Camacari,Sazonal Ingênuo,24,todas_horas,bruta,8712,72.7096533516988,151.89182506274236,0.642277098858374,64.2277098858374,0.7640202108094061
validacao_2023,BYD Camacari,Sazonal Ingênuo,24,todas_horas,pos_processada,8712,73.1686753902663,151.9417081804814,0.6424880304482092,64.24880304482092,0.763865188107692
validacao_2023,BYD Camacari,XGBoost,24,todas_horas,bruta,8712,48.899784330353036,93.07098237798435,0.39355219100789823,39.355219100789824,0.9113998200534978
validacao_2023,BYD Camacari,XGBoost,24,todas_horas,pos_processada,8712,48.63615470924338,93.06881527835439,0.3935430273912079,39.35430273912079,0.9114039460050438
validacao_2023,BYD Camacari,LSTM,24,todas_horas,bruta,8712,52.216894976193196,94.51691991824833,0.39966636185354804,39.9666361853548,0.9086254756797554
validacao_2023,BYD Camacari,LSTM,24,todas_horas,pos_processada,8712,49.31953763448228,93.7669895084475,0.3964952686906764,39.64952686906764,0.9100697183756996
validacao_2023,BYD Camacari,TimesNet,24,todas_horas,bruta,8712,51.120412683979026,93.46752112991089,0.39522896169036975,39.522896169036976,0.9106432308638697
validacao_2023,BYD Camacari,TimesNet,24,todas_horas,pos_processada,8712,49.25458058934998,93.4323260263666,0.39508013861191166,39.508013861191166,0.9107105126018618
validacao_2023,BYD Camacari,Persistência,24,diurno_elevacao_gt_0,bruta,4281,110.35085260453165,170.26511576737812,0.35469275446812787,35.46927544681279,0.6477771390218563
validacao_2023,BYD Camacari,Persistência,24,diurno_elevacao_gt_0,pos_processada,4281,110.35085260453165,170.26511576737812,0.35469275446812787,35.46927544681279,0.6477771390218563
validacao_2023,BYD Camacari,Sazonal Ingênuo,24,diurno_elevacao_gt_0,bruta,4281,147.67122167717824,216.67343578271104,0.4513696032887984,45.13696032887984,0.42960261701689373
validacao_2023,BYD Camacari,Sazonal Ingênuo,24,diurno_elevacao_gt_0,pos_processada,4281,147.67122167717824,216.67343578271104,0.4513696032887984,45.13696032887984,0.42960261701689373
validacao_2023,BYD Camacari,XGBoost,24,diurno_elevacao_gt_0,bruta,4281,97.746596549154,132.63863865475307,0.2763100584715945,27.63100584715945,0.7862499150622724
validacao_2023,BYD Camacari,XGBoost,24,diurno_elevacao_gt_0,pos_processada,4281,97.746596549154,132.63863865475307,0.2763100584715945,27.63100584715945,0.7862499150622724
validacao_2023,BYD Camacari,LSTM,24,diurno_elevacao_gt_0,bruta,4281,99.16810457121679,133.65119340066613,0.2784193914976758,27.84193914976758,0.7829739498472519
validacao_2023,BYD Camacari,LSTM,24,diurno_elevacao_gt_0,pos_processada,4281,99.13730714123093,133.6355750471248,0.278386855667815,27.8386855667815,0.7830246698062824
validacao_2023,BYD Camacari,TimesNet,24,diurno_elevacao_gt_0,bruta,4281,99.0051170507865,133.15770442172848,0.2773913655015686,27.73913655015686,0.7845736697614184
validacao_2023,BYD Camacari,TimesNet,24,diurno_elevacao_gt_0,pos_processada,4281,99.0051170507865,133.15770442172848,0.2773913655015686,27.73913655015686,0.7845736697614184
validacao_2023,Ford Rouge Electric Vehicle Center,Persistência,24,todas_horas,bruta,8712,65.64698117539027,141.40330618888598,0.90307384111982,90.307384111982,0.6621456877747427
validacao_2023,Ford Rouge Electric Vehicle Center,Persistência,24,todas_horas,pos_processada,8712,65.75390266299357,141.40971877102982,0.9031147951494267,90.31147951494268,0.6621150439699611
validacao_2023,Ford Rouge Electric Vehicle Center,Sazonal Ingênuo,24,todas_horas,bruta,8712,77.57483930211203,160.1856344994769,1.023027396873045,102.3027396873045,0.5664317512969281
validacao_2023,Ford Rouge Electric Vehicle Center,Sazonal Ingênuo,24,todas_horas,pos_processada,8712,77.67952249770431,160.19129978014575,1.0230635782531878,102.30635782531878,0.5664010827633685
validacao_2023,Ford Rouge Electric Vehicle Center,XGBoost,24,todas_horas,bruta,8712,58.34833163510889,111.2977794525518,0.710804548403285,71.0804548403285,0.7906932000831924
validacao_2023,Ford Rouge Electric Vehicle Center,XGBoost,24,todas_horas,pos_processada,8712,58.15623904153322,111.29617049592596,0.7107942727832911,71.0794272783291,0.7906992516527749
validacao_2023,Ford Rouge Electric Vehicle Center,LSTM,24,todas_horas,bruta,8712,64.14187748794177,116.15310741951966,0.7418131563008193,74.18131563008194,0.7720329893491639
validacao_2023,Ford Rouge Electric Vehicle Center,LSTM,24,todas_horas,pos_processada,8712,62.2416432141764,115.9999086824602,0.7408347508047967,74.08347508047967,0.7726339414447941
validacao_2023,Ford Rouge Electric Vehicle Center,TimesNet,24,todas_horas,bruta,8712,60.710626387281074,111.98193571259166,0.715173920225858,71.5173920225858,0.7881120401611849
validacao_2023,Ford Rouge Electric Vehicle Center,TimesNet,24,todas_horas,pos_processada,8712,59.00136009704611,111.92305985119411,0.7147979088599674,71.47979088599674,0.7883347869214005
validacao_2023,Ford Rouge Electric Vehicle Center,Persistência,24,diurno_elevacao_gt_0,bruta,4384,130.25079835766422,199.33010486335417,0.6414632788977618,64.14632788977617,0.43046355954605064
validacao_2023,Ford Rouge Electric Vehicle Center,Persistência,24,diurno_elevacao_gt_0,pos_processada,4384,130.25079835766422,199.33010486335417,0.6414632788977618,64.14632788977617,0.43046355954605064
validacao_2023,Ford Rouge Electric Vehicle Center,Sazonal Ingênuo,24,diurno_elevacao_gt_0,bruta,4384,153.94970346715328,225.80793014451382,0.726671444691775,72.6671444691775,0.26910648955656646
validacao_2023,Ford Rouge Electric Vehicle Center,Sazonal Ingênuo,24,diurno_elevacao_gt_0,pos_processada,4384,153.94970346715328,225.80793014451382,0.726671444691775,72.6671444691775,0.26910648955656646
validacao_2023,Ford Rouge Electric Vehicle Center,XGBoost,24,diurno_elevacao_gt_0,bruta,4384,115.15252156246292,156.87560388563443,0.5048406477111418,50.48406477111418,0.6472341407346709
validacao_2023,Ford Rouge Electric Vehicle Center,XGBoost,24,diurno_elevacao_gt_0,pos_processada,4384,115.15252156246292,156.87560388563443,0.5048406477111418,50.48406477111418,0.6472341407346709
validacao_2023,Ford Rouge Electric Vehicle Center,LSTM,24,diurno_elevacao_gt_0,bruta,4384,123.34857880892008,163.51843823239005,0.5262179218773578,52.621792187735785,0.616726151796702
validacao_2023,Ford Rouge Electric Vehicle Center,LSTM,24,diurno_elevacao_gt_0,pos_processada,4384,123.27114408802572,163.5071272920591,0.5261815221931402,52.61815221931402,0.6167791738012774
validacao_2023,Ford Rouge Electric Vehicle Center,TimesNet,24,diurno_elevacao_gt_0,bruta,4384,116.84201551059748,157.76031780923944,0.5076877414540122,50.76877414540122,0.6432440121393206
validacao_2023,Ford Rouge Electric Vehicle Center,TimesNet,24,diurno_elevacao_gt_0,pos_processada,4384,116.8319683315387,157.75942170991001,0.5076848577209481,50.768485772094806,0.6432480649695633
validacao_2023,GM Factory Zero,Persistência,24,todas_horas,bruta,8712,66.26285583103765,143.8220398798051,0.9156606057081548,91.56606057081548,0.6541247194564734
validacao_2023,GM Factory Zero,Persistência,24,todas_horas,pos_processada,8712,66.36799816345271,143.82823000085577,0.9157000158708489,91.57000158708489,0.6540949457732261
validacao_2023,GM Factory Zero,Sazonal Ingênuo,24,todas_horas,bruta,8712,77.87172865013774,161.34681437070816,1.027234225708606,102.7234225708606,0.5646992391803567
validacao_2023,GM Factory Zero,Sazonal Ingênuo,24,todas_horas,pos_processada,8712,77.97469008264463,161.3525249588802,1.0272705828665836,102.72705828665836,0.5646684252175722
validacao_2023,GM Factory Zero,XGBoost,24,todas_horas,bruta,8712,59.324192512603624,113.1939565843455,0.7206631677255059,72.06631677255059,0.7857528186478877
validacao_2023,GM Factory Zero,XGBoost,24,todas_horas,pos_processada,8712,59.09964389617759,113.19090942849236,0.720643767635113,72.06437676351129,0.7857643534645009
validacao_2023,GM Factory Zero,LSTM,24,todas_horas,bruta,8712,64.92449185077221,117.68285766367536,0.7492423054202447,74.92423054202447,0.7684232005419589
validacao_2023,GM Factory Zero,LSTM,24,todas_horas,pos_processada,8712,62.875497942789906,117.49583091055322,0.7480515767239297,74.80515767239298,0.7691586796396909
validacao_2023,GM Factory Zero,TimesNet,24,todas_horas,bruta,8712,61.009130300348176,113.51992862557019,0.7227385085909336,72.27385085909336,0.7845170786398181
validacao_2023,GM Factory Zero,TimesNet,24,todas_horas,pos_processada,8712,59.489046598669816,113.47791330354237,0.7224710129049513,72.24710129049512,0.784676555641127
validacao_2023,GM Factory Zero,Persistência,24,diurno_elevacao_gt_0,bruta,4386,131.41621067031463,202.69368400905762,0.6505396669523384,65.05396669523384,0.4189526050612312
validacao_2023,GM Factory Zero,Persistência,24,diurno_elevacao_gt_0,pos_processada,4386,131.41621067031463,202.69368400905762,0.6505396669523384,65.05396669523384,0.4189526050612312
validacao_2023,GM Factory Zero,Sazonal Ingênuo,24,diurno_elevacao_gt_0,bruta,4386,154.47081623347015,227.39332345566257,0.7298124637244332,72.98124637244332,0.26871520375838653
validacao_2023,GM Factory Zero,Sazonal Ingênuo,24,diurno_elevacao_gt_0,pos_processada,4386,154.47081623347015,227.39332345566257,0.7298124637244332,72.98124637244332,0.26871520375838653
validacao_2023,GM Factory Zero,XGBoost,24,diurno_elevacao_gt_0,bruta,4386,116.97893242669839,159.5107978395324,0.5119454106778886,51.194541067788855,0.6401584567449156
validacao_2023,GM Factory Zero,XGBoost,24,diurno_elevacao_gt_0,pos_processada,4386,116.97893242669839,159.5107978395324,0.5119454106778886,51.194541067788855,0.6401584567449156
validacao_2023,GM Factory Zero,LSTM,24,diurno_elevacao_gt_0,bruta,4386,124.53412276730748,165.58616505166663,0.531444130542383,53.144413054238306,0.6122255217055087
validacao_2023,GM Factory Zero,LSTM,24,diurno_elevacao_gt_0,pos_processada,4386,124.47898724979153,165.57863961366195,0.5314199778611726,53.14199778611726,0.612260767482036
validacao_2023,GM Factory Zero,TimesNet,24,diurno_elevacao_gt_0,bruta,4386,117.76357258792042,159.91615751484042,0.5132464011328206,51.32464011328206,0.6383272253241351
validacao_2023,GM Factory Zero,TimesNet,24,diurno_elevacao_gt_0,pos_processada,4386,117.75241084532864,159.91533492882107,0.5132437610661719,51.32437610661719,0.6383309461014159
validacao_2023,Hyundai Metaplant Georgia,Persistência,24,todas_horas,bruta,8712,65.27766299357208,140.93124947963034,0.7185494824702836,71.85494824702836,0.739244833033762
validacao_2023,Hyundai Metaplant Georgia,Persistência,24,todas_horas,pos_processada,8712,65.51262626262626,140.95147395342084,0.7186525986012273,71.86525986012273,0.7391699878243623
