fase,Modelo,epoca,MSE_treino_normalizado,MSE_validacao_normalizado
selecao_epocas,TimesNet,1,0.015226521213574392,0.010615390471664817
selecao_epocas,TimesNet,2,0.010785839611786871,0.010218697751666707
selecao_epocas,TimesNet,3,0.010399858760534685,0.009930679390909915
selecao_epocas,TimesNet,4,0.010128505464553008,0.00975690726880674
selecao_epocas,TimesNet,5,0.009984983126391176,0.009663897564843921
selecao_epocas,TimesNet,6,0.009890763523849854,0.009621359935622716
selecao_epocas,TimesNet,7,0.009836685048048884,0.009619955378714271
selecao_epocas,TimesNet,8,0.009787140767570186,0.009556243468542365
selecao_epocas,TimesNet,9,0.009775315223964234,0.009531408626806273
selecao_epocas,TimesNet,10,0.009741528183995233,0.009588320969732523
selecao_epocas,TimesNet,11,0.0097078029566467,0.00956778039908898
selecao_epocas,TimesNet,12,0.00971482334355582,0.009425293027278223
selecao_epocas,TimesNet,13,0.009669900790475644,0.009440695739573282
selecao_epocas,TimesNet,14,0.009644317247463344,0.009424201640142809
selecao_epocas,TimesNet,15,0.00963129971227947,0.009480360381129614
selecao_epocas,TimesNet,16,0.009669322145516279,0.00944222808066661
selecao_epocas,TimesNet,17,0.009610471402175698,0.009431406712364195
selecao_epocas,TimesNet,18,0.009628082519094219,0.009570322173211711
selecao_epocas,TimesNet,19,0.00960401957783732,0.009485963144760669
