Localidade,Modelo,CRPS_wm2,Nivel_intervalo,PICP,PICP_percentual,MPIW_wm2
BMW San Luis Potosi,DeepAR,14.345487414932082,0.9,0.6666666666666666,66.66666666666666,52.58835337203616
BYD Camacari,DeepAR,12.494798437152282,0.9,0.6666666666666666,66.66666666666666,37.78725109149929
Ford Rouge Electric Vehicle Center,DeepAR,10.662031299398302,0.9,0.5,50.0,24.42018383716153
GM Factory Zero,DeepAR,11.617483193130804,0.9,0.4166666666666667,41.66666666666667,25.025722160985126
Hyundai Metaplant Georgia,DeepAR,10.054859141999636,0.9,0.5833333333333334,58.333333333333336,34.8066370331814
Lucid AMP 1 Casa Grande,DeepAR,7.321684590764736,0.9,0.75,75.0,29.65641627252354
Rivian Normal,DeepAR,13.174307045303374,0.9,0.4166666666666667,41.66666666666667,38.16166410831004
Tesla Fremont Factory,DeepAR,8.936657012119136,0.9,0.75,75.0,35.72449852104136
Tesla Gigafactory Nevada,DeepAR,12.29077029547697,0.9,0.5,50.0,31.88410930792995
Tesla Gigafactory Texas,DeepAR,7.402938296676477,0.9,0.9166666666666666,91.66666666666666,44.90157282139818
BMW San Luis Potosi,DeepNPTS,17.841737386294348,0.9,0.8333333333333334,83.33333333333334,106.54295515743047
BYD Camacari,DeepNPTS,14.088960967810017,0.9,0.9166666666666666,91.66666666666666,85.74754907128461
Ford Rouge Electric Vehicle Center,DeepNPTS,14.995296214720355,0.9,0.9166666666666666,91.66666666666666,165.12226898415307
GM Factory Zero,DeepNPTS,15.582218163698839,0.9,0.9166666666666666,91.66666666666666,167.81102504413226
Hyundai Metaplant Georgia,DeepNPTS,14.704405837732546,0.9,0.8333333333333334,83.33333333333334,108.47160261867266
Lucid AMP 1 Casa Grande,DeepNPTS,13.164569920384466,0.9,1.0,100.0,154.85591816065673
Rivian Normal,DeepNPTS,17.873171710735438,0.9,1.0,100.0,160.8007740312082
Tesla Fremont Factory,DeepNPTS,17.883881688457596,0.9,0.8333333333333334,83.33333333333334,185.9853348745011
Tesla Gigafactory Nevada,DeepNPTS,17.8755866897191,0.9,0.9166666666666666,91.66666666666666,188.74806323648644
Tesla Gigafactory Texas,DeepNPTS,15.029621539812966,0.9,0.9166666666666666,91.66666666666666,131.47246188650374
