Localidade,arquivo,data_inicial,data_final,linhas_brutas,datas_invalidas,ghi_invalidas,ghi_negativas,datas_duplicadas,dias_esperados,dias_ausentes,produto_dados,intervalo_minutos,agregacao_origem,unidade_ghi
BMW San Luis Potosi,bmw_san_luis_potosi.csv,2019-01-01,2024-12-31,2192,0,0,0,0,2192,0,GOES Aggregated PSM v4,60,media_diaria,W/m2
BYD Camacari,byd_camacari.csv,2019-01-01,2024-12-31,2192,0,0,0,0,2192,0,GOES Aggregated PSM v4,60,media_diaria,W/m2
Ford Rouge Electric Vehicle Center,ford_rouge_electric_vehicle_center.csv,2019-01-01,2024-12-31,2192,0,0,0,0,2192,0,GOES Aggregated PSM v4,60,media_diaria,W/m2
GM Factory Zero,gm_factory_zero.csv,2019-01-01,2024-12-31,2192,0,0,0,0,2192,0,GOES Aggregated PSM v4,60,media_diaria,W/m2
Hyundai Metaplant Georgia,hyundai_metaplant_georgia.csv,2019-01-01,2024-12-31,2192,0,0,0,0,2192,0,GOES Aggregated PSM v4,60,media_diaria,W/m2
Lucid AMP 1 Casa Grande,lucid_amp_1_casa_grande.csv,2019-01-01,2024-12-31,2192,0,0,0,0,2192,0,GOES Aggregated PSM v4,60,media_diaria,W/m2
Rivian Normal,rivian_normal.csv,2019-01-01,2024-12-31,2192,0,0,0,0,2192,0,GOES Aggregated PSM v4,60,media_diaria,W/m2
Tesla Fremont Factory,tesla_fremont_factory.csv,2019-01-01,2024-12-31,2192,0,0,0,0,2192,0,GOES Aggregated PSM v4,60,media_diaria,W/m2
Tesla Gigafactory Nevada,tesla_gigafactory_nevada.csv,2019-01-01,2024-12-31,2192,0,0,0,0,2192,0,GOES Aggregated PSM v4,60,media_diaria,W/m2
Tesla Gigafactory Texas,tesla_gigafactory_texas.csv,2019-01-01,2024-12-31,2192,0,0,0,0,2192,0,GOES Aggregated PSM v4,60,media_diaria,W/m2
