Modelo,seed,n_estimators,retomado,epocas_selecionadas,melhor_val_loss,epocas,lotes_por_epoca,amostras
XGBoost,11,350.0,True,,,,,
XGBoost,23,271.0,True,,,,,
XGBoost,42,207.0,True,,,,,
XGBoost,67,392.0,True,,,,,
XGBoost,89,242.0,True,,,,,
MLP,11,,True,,,,,
MLP,23,,True,,,,,
MLP,42,,True,,,,,
MLP,67,,True,,,,,
MLP,89,,True,,,,,
RNN,11,,True,102.0,,,,
RNN,23,,True,72.0,,,,
RNN,42,,True,132.0,,,,
RNN,67,,True,71.0,,,,
RNN,89,,True,61.0,,,,
LSTM,11,,True,110.0,,,,
LSTM,23,,True,114.0,,,,
LSTM,42,,True,147.0,,,,
LSTM,67,,True,97.0,,,,
LSTM,89,,True,109.0,,,,
DilatedRNN,11,,True,72.0,,,,
DilatedRNN,23,,True,146.0,,,,
DilatedRNN,42,,True,21.0,,,,
DilatedRNN,67,,False,104.0,0.009047379717230797,,,
DilatedRNN,89,,False,69.0,0.008869769051671028,,,
DeepNPTS,11,,False,,,100.0,100.0,500.0
DeepNPTS,23,,False,,,100.0,100.0,500.0
DeepNPTS,42,,False,,,100.0,100.0,500.0
DeepNPTS,67,,False,,,100.0,100.0,500.0
DeepNPTS,89,,False,,,100.0,100.0,500.0
DeepAR,11,,False,,,100.0,50.0,500.0
DeepAR,23,,False,,,100.0,50.0,500.0
DeepAR,42,,False,,,100.0,50.0,500.0
DeepAR,67,,False,,,100.0,50.0,500.0
DeepAR,89,,False,,,100.0,50.0,500.0
