Localidade,Modelo,seed,N_teste,MAE_wm2,MSE_wm4,RMSE_wm2,R2,nRMSE_percentual
BMW San Luis Potosi,Persistencia,-1,12,33.43112305854242,1469.5373576200418,38.334545225162664,0.27272943634543845,15.468769947967395
BYD Camacari,Persistencia,-1,12,24.456448008074812,1009.7719915753001,31.776909723497347,0.27941124453535604,13.452144928909918
Ford Rouge Electric Vehicle Center,Persistencia,-1,12,36.09837216248506,1988.8681728154543,44.59672827479,0.6686870659430317,27.795566183677767
GM Factory Zero,Persistencia,-1,12,35.87547043010752,1976.7444953312897,44.460594860295,0.6676990905502025,27.739392976672704
Hyundai Metaplant Georgia,Persistencia,-1,12,30.52066905615291,1430.681427092839,37.824349658557765,0.5241694452550187,19.06989688996337
Lucid AMP 1 Casa Grande,Persistencia,-1,12,35.2067652329749,1821.7153687919845,42.68155771281063,0.6716785844378292,17.309664447262332
Rivian Normal,Persistencia,-1,12,37.03744772998805,2155.7896543071333,46.430481952130684,0.6345942579577875,25.809083341380802
Tesla Fremont Factory,Persistencia,-1,12,43.50248655913978,2437.0540723159506,49.366527853556306,0.7269763399445568,22.37473906955302
Tesla Gigafactory Nevada,Persistencia,-1,12,43.07326015531661,2450.606620171127,49.50360209288943,0.7216257938480715,22.28336423886247
Tesla Gigafactory Texas,Persistencia,-1,12,31.674671445639166,1346.6461374819992,36.69667747197284,0.5951438215677138,17.567712449773147
BMW San Luis Potosi,Sazonal ingenuo,-1,12,32.55069323976965,1352.3817952475872,36.77474398615968,0.33070944715637307,14.839358371829691
BYD Camacari,Sazonal ingenuo,-1,12,21.12043150531748,634.6506913849794,25.192274438505535,0.54710354844916,10.664665940912997
Ford Rouge Electric Vehicle Center,Sazonal ingenuo,-1,12,12.583989761551637,297.80712271555683,17.257089056835653,0.9503902003367671,10.755734323408848
GM Factory Zero,Sazonal ingenuo,-1,12,14.123742908051865,326.3084424681138,18.064009590013892,0.9451458737083123,11.270309412779977
Hyundai Metaplant Georgia,Sazonal ingenuo,-1,12,17.137281356121736,412.46803386011203,20.30930904437943,0.8628171935068443,10.239341399888161
Lucid AMP 1 Casa Grande,Sazonal ingenuo,-1,12,7.817216283451335,124.95773661883669,11.178449651845138,0.9774793023789733,4.533461824800721
Rivian Normal,Sazonal ingenuo,-1,12,20.779582187512876,583.7289852430491,24.160483961275467,0.9010581006462629,13.429969233736063
Tesla Fremont Factory,Sazonal ingenuo,-1,12,13.689407202520727,344.36784151659936,18.557150684213333,0.9614204011456724,8.410788088345154
Tesla Gigafactory Nevada,Sazonal ingenuo,-1,12,13.514209084094029,445.6858943708976,21.111274105816012,0.9493727569258149,9.502949089717557
Tesla Gigafactory Texas,Sazonal ingenuo,-1,12,16.111833327447894,446.235759116456,21.124293103355104,0.8658435211097664,10.112782205634312
BMW San Luis Potosi,Climatologia,-1,12,13.229691031260478,263.86709076919055,16.243986295524586,0.869412800675996,6.554779391995219
BYD Camacari,Climatologia,-1,12,13.137358846138566,288.1127254373004,16.973883628601335,0.7943983473610645,7.185567903399831
Ford Rouge Electric Vehicle Center,Climatologia,-1,12,13.279167020712308,273.5933641629127,16.540657912033385,0.9544238167927372,10.309208085459318
GM Factory Zero,Climatologia,-1,12,13.589109516802184,294.2554788083215,17.15387649507602,0.9505341416406963,10.702468616657317
Hyundai Metaplant Georgia,Climatologia,-1,12,11.096989496982978,164.05475239992938,12.808386018539938,0.9454370047973347,6.4576021241687735
Lucid AMP 1 Casa Grande,Climatologia,-1,12,9.721163382042668,143.50331978541683,11.979287115075623,0.9741368965223903,4.8582444360303905
Rivian Normal,Climatologia,-1,12,15.870764066831319,427.9031465446521,20.68581993890143,0.9274705366207913,11.498524855682744
Tesla Fremont Factory,Climatologia,-1,12,9.785685803431653,182.62834670912835,13.514005576035862,0.979540109423581,6.125047915973787
Tesla Gigafactory Nevada,Climatologia,-1,12,10.964862187961645,162.34715538625753,12.741552314622325,0.9815583373807595,5.735434174315017
Tesla Gigafactory Texas,Climatologia,-1,12,10.038301037473296,211.98862148163423,14.559829033393017,0.9362676647002004,6.9701920554486625
BMW San Luis Potosi,XGBoost,11,12,21.685206037176126,682.850957334037,26.1314170556064,0.6620586757748926,10.54455912997861
BYD Camacari,XGBoost,11,12,16.450651030610373,423.4410603787794,20.57768355230441,0.6978259753125465,8.711167443766739
Ford Rouge Electric Vehicle Center,XGBoost,11,12,14.44522712594742,292.50010441361627,17.10263442904678,0.9512742628547072,10.659468207145164
GM Factory Zero,XGBoost,11,12,15.890988550689755,317.6243801152029,17.822019529649353,0.9466057092229205,11.119329485453468
Hyundai Metaplant Georgia,XGBoost,11,12,13.096303762001362,287.89789217526555,16.9675541011445,0.9042479959902506,8.55452929408115
Lucid AMP 1 Casa Grande,XGBoost,11,12,10.558881364955129,166.05498098815576,12.886232226223294,0.9700724891752253,5.226059398447737
Rivian Normal,XGBoost,11,12,16.154675726274036,394.3646994621101,19.858617763130194,0.9331552939989773,11.038712056051194
Tesla Fremont Factory,XGBoost,11,12,13.674108773565564,277.5699867947672,16.660431770958613,0.968903778304668,7.55112481815826
