Localidade,Pais,Modelo,Seed,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2
Rivian Normal,EUA,XGBoost,42,18.8871127835294,442.6330563044225,21.038846363439763,0.924973821045953,0.11694759915702434,11.694759915702434
Rivian Normal,EUA,MLP,42,19.021368342066264,517.5665386088712,22.750088760461377,0.9122726168025065,0.1264597979938939,12.645979799389389
Rivian Normal,EUA,MLP,43,18.849390683623934,492.30530040596983,22.18795394816678,0.9165543895960598,0.12333508689686921,12.333508689686921
Rivian Normal,EUA,MLP,44,19.5828096482367,506.1309533210285,22.49735436270293,0.9142109453028973,0.12505493574376553,12.505493574376553
Rivian Normal,EUA,RNN,42,47.78121431639577,3075.2607535678358,55.455033617948835,0.4787441644013689,0.30825516431647465,30.825516431647465
Rivian Normal,EUA,RNN,43,38.75614724923477,2582.8747744211396,50.82199105132678,0.5622034498292443,0.28250169876998443,28.25016987699844
Rivian Normal,EUA,RNN,44,65.81439248716335,6065.184104663946,77.8792918859946,-0.028047005402139336,0.43290378439871396,43.2903784398714
Rivian Normal,EUA,LSTM,42,61.7113583064575,5506.532024502805,74.20601070333053,0.06664436557037579,0.4124852971907964,41.24852971907964
Rivian Normal,EUA,LSTM,43,65.339516223437,6022.118609433674,77.60231059339453,-0.02074741603376462,0.43136414212834323,43.136414212834325
Rivian Normal,EUA,LSTM,44,66.62486376186642,6152.698021002193,78.43913577419242,-0.042880589687464665,0.4360157610487856,43.60157610487856
Rivian Normal,EUA,VizinhosHistoricos,42,18.313040440726105,369.189550372292,19.21430587797259,0.9374224747119978,0.1068056158156292,10.68056158156292
