data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,137.9798387096774,0.10917622,143.83647706190587
2024-02-29,176.53879310344828,0.29181615,188.4566631151103
2024-03-31,233.08602150537632,0.45718226,228.85673812445535
2024-04-30,319.31111111111113,0.78512967,308.976537915888
2024-05-31,350.38440860215053,0.9389464,346.5550266719073
2024-06-30,331.58194444444445,0.95165104,349.65885018441145
2024-07-31,324.9180107526882,0.83322066,320.72549749357245
2024-08-31,283.14516129032256,0.6856579,284.67490804718545
2024-09-30,274.7944444444445,0.60110503,264.01805886471624
2024-10-31,219.50134408602148,0.42199016,220.2590663223177
2024-11-30,163.96944444444443,0.18714781,162.88547160346462
2024-12-31,143.70698924731184,0.08483176,137.88895880785242
