Localidade,Pais,Frequencia,Lat,Lon,XGBoost_MAE_normalizado,XGBoost_RMSE_normalizado,XGBoost_MAE_wm2,XGBoost_RMSE_wm2,XGBoost_nRMSE_percentual_wm2,XGBoost_R2_wm2,MLP_MAE_normalizado,MLP_RMSE_normalizado,MLP_MAE_wm2,MLP_RMSE_wm2,MLP_nRMSE_percentual_wm2,MLP_R2_wm2,RNN_MAE_normalizado,RNN_RMSE_normalizado,RNN_MAE_wm2,RNN_RMSE_wm2,RNN_nRMSE_percentual_wm2,RNN_R2_wm2,LSTM_MAE_normalizado,LSTM_RMSE_normalizado,LSTM_MAE_wm2,LSTM_RMSE_wm2,LSTM_nRMSE_percentual_wm2,LSTM_R2_wm2,VizinhosHistoricos_MAE_normalizado,VizinhosHistoricos_RMSE_normalizado,VizinhosHistoricos_MAE_wm2,VizinhosHistoricos_RMSE_wm2,VizinhosHistoricos_nRMSE_percentual_wm2,VizinhosHistoricos_R2_wm2,Persistencia_MAE_normalizado,Persistencia_RMSE_normalizado,Persistencia_MAE_wm2,Persistencia_RMSE_wm2,Persistencia_nRMSE_percentual_wm2,Persistencia_R2_wm2,SazonalIngenuo_MAE_normalizado,SazonalIngenuo_RMSE_normalizado,SazonalIngenuo_MAE_wm2,SazonalIngenuo_RMSE_wm2,SazonalIngenuo_nRMSE_percentual_wm2,SazonalIngenuo_R2_wm2,Climatologia_MAE_normalizado,Climatologia_RMSE_normalizado,Climatologia_MAE_wm2,Climatologia_RMSE_wm2,Climatologia_nRMSE_percentual_wm2,Climatologia_R2_wm2,Melhor_Modelo_MAE
BYD Camacari,Brasil,mensal,-12.6733774,-38.2812339,0.10070460561742316,0.1214251849869052,15.50972754478343,18.70094733780315,7.916687182140274,0.7504305769818382,0.10417266517053152,0.12778727287124828,16.04385058946956,19.68078583595696,8.331483007120823,0.7235930038157513,0.16399380705559724,0.19760327440526682,25.25702899786589,30.433293194337118,12.883350655444831,0.33905996284798834,0.17071882413978515,0.1984793030612068,26.292764195815334,30.568213623896064,12.940466630160133,0.3331866594137859,0.07785360735911086,0.1064868928171312,11.990397310811453,16.40026964173519,6.942739429778073,0.8080597140686019,0.1587956304752599,0.20632736251937012,24.456448008074815,31.77690972349735,13.45214492890992,0.27941124453535593,0.13713488711398705,0.16357334888727249,21.12043150531748,25.192274438505535,10.664665940912997,0.54710354844916,0.08530082455406113,0.11021136640641788,13.137358846138563,16.97388362860133,7.185567903399829,0.7943983473610645,VizinhosHistoricos
Tesla Gigafactory Nevada,EUA,mensal,39.5403926,-119.4390524,0.06545022679394913,0.07911142328369927,17.9946394256516,21.750598753036506,9.790732268690364,0.9462599801287969,0.030652423057342646,0.03835323651796474,8.427462111467678,10.54469485177878,4.7465490638224725,0.9873694162769239,0.22000052822790475,0.2529199167140603,60.486119158715894,69.53685184133604,31.301055521106697,0.4507305571106067,0.30905538739457145,0.3373803804917931,84.97052771901305,92.75809526426862,41.753778219983204,0.022629934990069267,0.06533509558268742,0.07629243639771931,17.962985880175687,20.97555602474047,9.441857465945798,0.9500215994672765,0.1566663575909936,0.18005484143901265,43.0732601553166,49.50360209288942,22.283364238862468,0.7216257938480716,0.04915397407332762,0.07678607113408883,13.51420908409402,21.11127410581601,9.502949089717557,0.9493727569258149,0.039881472038125455,0.04634366156610928,10.964862187961637,12.74155231462232,5.7354341743150155,0.9815583373807595,MLP
Tesla Gigafactory Texas,EUA,mensal,30.2219321,-97.6187733,0.06917490564499991,0.08974825067625491,14.744854107940618,19.130129158165584,9.15812087986303,0.8899771005005565,0.060492771431184124,0.07594871552576687,12.894229368529258,16.188713710173744,7.749984112573749,0.9212098427476687,0.1498275384348788,0.18721308492481784,31.936222401202684,39.90507151064628,19.10365923787214,0.5212558629607784,0.2263103242682121,0.26793137331664985,48.23877585353373,57.11043686000369,27.340342552912105,0.019430803786135264,0.05817712050738957,0.07196236482151426,12.400640904280769,15.339010198366493,7.343207586977038,0.9292637627859062,0.14860047895498682,0.17216102328798122,31.674671445639166,36.69667747197284,17.567712449773147,0.5951438215677138,0.07558803422509701,0.09910379269857487,16.111833327447894,21.124293103355104,10.112782205634312,0.8658435211097664,0.04709429566216521,0.06830686694187636,10.038301037473294,14.559829033393019,6.970192055448663,0.9362676647002003,Climatologia
Hyundai Metaplant Georgia,EUA,mensal,32.1605262,-81.4509985,0.04771374338942361,0.062489233214135166,9.204263319402907,12.054542454936362,6.0775369238717944,0.9516706617486203,0.059703341553609346,0.07306036771374731,11.517127669969256,14.093777009425331,7.105657513904375,0.933936104492304,0.15728332612848225,0.19222798192538532,30.34088313547792,37.08191375595743,18.695583088462435,0.5426658144567507,0.2490482579383674,0.281108591157393,48.0428813110771,54.22750918564488,27.33987545337269,0.02197782880905963,0.0594372194837722,0.07401539565430162,11.465791148857472,14.278007547172962,7.198540997441942,0.9321976726828061,0.1582153103898898,0.19607667218939934,30.520669056152926,37.82434965855777,19.069896889963374,0.5241694452550187,0.08883751152404908,0.10528090417509715,17.137281356121736,20.30930904437943,10.239341399888161,0.8628171935068443,0.05752539809754137,0.06639706245588628,11.096989496982971,12.80838601853993,6.457602124168769,0.9454370047973347,XGBoost
Rivian Normal,EUA,mensal,40.5092914,-89.0545444,0.0772254089292311,0.08602339026065188,18.8871127835294,21.038846363439763,11.694759915702434,0.924973821045953,0.07771612607824437,0.090884370062357,19.007129055542237,22.227702770049117,12.35560367155122,0.9162551429213073,0.20260927352949476,0.24194896389435475,49.55240203078361,59.17375914601745,32.89262607691443,0.40649100736991517,0.26280738604464154,0.31247236108700216,64.27512802327033,76.42175254226223,42.480183222976734,0.010073454942647553,0.07487814470078875,0.07856322823688378,18.313040440726105,19.21430587797259,10.68056158156292,0.9374224747119978,0.15143828134111767,0.1898444093645629,37.03744772998806,46.43048195213069,25.809083341380806,0.6345942579577873,0.08496331163001729,0.09878710310005412,20.779582187512872,24.16048396127547,13.429969233736067,0.9010581006462629,0.06489219374328838,0.08457993764896139,15.870764066831319,20.685819938901428,11.498524855682742,0.9274705366207914,Climatologia
Tesla Fremont Factory,EUA,mensal,37.4926897,-121.9415083,0.033313881679532455,0.04147041009781084,9.293840339996692,11.569332110004355,5.24364986612484,0.9850048195835419,0.03164395424954591,0.04012769270029559,8.827967125339413,11.194743526056484,5.073872444282862,0.9859601193611139,0.21942199339296276,0.2568239812779254,61.21391021289807,71.6482410267179,32.47363684399308,0.4248962692936257,0.3042659458929627,0.33515531930993964,84.88350611781821,93.5009622485647,42.37809957527837,0.020583807517617014,0.06291559066709061,0.07042812945294803,17.552065765875568,19.647898824739823,8.905155549376184,0.9567518688528837,0.15593518585582397,0.176954912345894,43.50248655913978,49.366527853556306,22.37473906955302,0.7269763399445568,0.04906984462782705,0.06651832963532914,13.689407202520721,18.55715068421333,8.410788088345152,0.9614204011456725,0.03507690836040766,0.04844111538982939,9.78568580343165,13.51400557603586,6.125047915973785,0.979540109423581,MLP
Lucid AMP 1 Casa Grande,EUA,mensal,32.8568519,-111.7784376,0.026743358231443987,0.033714413227256566,6.533585310223931,8.236661760989476,3.3404088062496355,0.9877729650567116,0.035975614905286855,0.0430513925089143,8.789089328399248,10.517750300279648,4.265512745878285,0.9800627891649816,0.17960416985411318,0.21216790755676018,43.87852979647591,51.834074195417614,21.021501541586883,0.5157725765248038,0.27242210965692054,0.30288454902328793,66.55458840785718,73.99677044435202,30.009665420163184,0.013165735623547503,0.04558408138441202,0.05680507730802607,11.136503553737478,13.877869775993615,5.628221694288165,0.9652892254177279,0.14410878997324186,0.17470470790100753,35.2067652329749,42.68155771281062,17.30966444726233,0.6716785844378294,0.03199753150034299,0.04575577569947886,7.81721628345134,11.178449651845142,4.533461824800723,0.9774793023789733,0.039790792560693934,0.04903377403382436,9.721163382042674,11.979287115075627,4.858244436030392,0.9741368965223903,XGBoost
GM Factory Zero,EUA,mensal,42.3815123,-83.0453415,0.0508954669857079,0.06922876755958966,13.884698626764015,18.886172792309416,11.78326494635072,0.9400389941764554,0.04351475715554978,0.051328607939667224,11.871180576666712,14.002862785665467,8.736520841219871,0.9670379162783647,0.17364383951795628,0.19289278891147868,47.371455338334755,52.622725641868186,32.83182491530272,0.5344914417241563,0.2484007328817308,0.27921527924086326,67.76574534061909,76.17220484147475,47.524571604061975,0.02461955340130617,0.06713800467492899,0.08010097381545925,18.31579512679244,21.852198809959184,13.63379712076609,0.9197266702644862,0.13150439196213284,0.16297384879644905,35.87547043010751,44.460594860295,27.739392976672704,0.6676990905502025,0.05177170364835491,0.06621506475185734,14.12374290805186,18.064009590013892,11.270309412779977,0.9451458737083123,0.0498119624046571,0.06287889946065672,13.589109516802184,17.15387649507602,10.702468616657317,0.9505341416406963,MLP
Ford Rouge Electric Vehicle Center,EUA,mensal,42.3056229,-83.1676332,0.050580019928254255,0.06923497514800131,13.671618271743766,18.71399389454886,11.663771670688188,0.941660143102481,0.04509456915879729,0.05432922893837777,12.188918597636773,14.685017760571526,9.152653095029567,0.9640762765171497,0.17674758002632354,0.19763621822588914,47.77430823480747,53.42044059580813,33.29507453983749,0.5246129752801562,0.2511984017437732,0.28288712742879707,67.89812888831374,76.46349062887975,47.65699405827231,0.026041094970851497,0.06383174963817981,0.0783630784465434,17.253518878175615,21.181290830867272,13.201550739718934,0.9252627283795705,0.13355085826209354,0.16499168743595677,36.09837216248506,44.59672827479,27.795566183677767,0.6686870659430317,0.04655618888995697,0.06384495800176063,12.583989761551637,17.257089056835653,10.755734323408848,0.9503902003367671,0.049128092110060674,0.06119442312879281,13.279167020712308,16.540657912033385,10.309208085459318,0.9544238167927372,MLP
BMW San Luis Potosi,Mexico,mensal,21.9682649,-100.8491733,0.09501672613029977,0.11158030068986817,18.61037947906894,21.854591495217676,8.818772889065688,0.7636254227635362,0.09573125005809054,0.12472690053989192,18.7503292368483,24.42954049378317,9.857817266730914,0.7046438792229137,0.1709783001175107,0.21569190398455615,33.48853547198676,42.24633225529133,17.047255705372024,0.11673016363060773,0.16268084703406202,0.19487666237261697,31.863360416592496,38.169369711895015,15.402118263415845,0.2789832466509615,0.09471783919302522,0.12431803776232057,18.551838280544626,24.349458893600318,9.825502709638414,0.7065770980181705,0.17068517362088045,0.19571997315125977,33.431123058542425,38.334545225162664,15.468769947967395,0.27272943634543845,0.16619007137094774,0.18775628779055328,32.55069323976965,36.77474398615968,14.839358371829691,0.33070944715637285,0.06754520650314498,0.08293492313409888,13.22969103126048,16.24398629552459,6.55477939199522,0.8694128006759959,Climatologia
