localidade,localidade_id,pais,arquivo,registros,inicio,fim,ghi_min_wm2,ghi_max_wm2,datas_duplicadas,valores_nao_finitos,valores_negativos
BYD Camacari,0,Brasil,/workspace/scratch/442248e22d47/TCC/dados/brutos/localidades_ev/byd_camacari.csv,2192,2019-01-01,2024-12-31,27.91666603088379,348.125,0,0,0
Tesla Gigafactory Nevada,1,EUA,/workspace/scratch/442248e22d47/TCC/dados/brutos/localidades_ev/tesla_gigafactory_nevada.csv,2192,2019-01-01,2024-12-31,7.916666507720947,394.4166564941406,0,0,0
Tesla Gigafactory Texas,2,EUA,/workspace/scratch/442248e22d47/TCC/dados/brutos/localidades_ev/tesla_gigafactory_texas.csv,2192,2019-01-01,2024-12-31,12.25,367.1666564941406,0,0,0
Hyundai Metaplant Georgia,3,EUA,/workspace/scratch/442248e22d47/TCC/dados/brutos/localidades_ev/hyundai_metaplant_georgia.csv,2192,2019-01-01,2024-12-31,7.541666507720947,361.0833435058594,0,0,0
Rivian Normal,4,EUA,/workspace/scratch/442248e22d47/TCC/dados/brutos/localidades_ev/rivian_normal.csv,2192,2019-01-01,2024-12-31,8.75,375.4166564941406,0,0,0
Tesla Fremont Factory,5,EUA,/workspace/scratch/442248e22d47/TCC/dados/brutos/localidades_ev/tesla_fremont_factory.csv,2192,2019-01-01,2024-12-31,12.166666984558105,376.3333435058594,0,0,0
Lucid AMP 1 Casa Grande,6,EUA,/workspace/scratch/442248e22d47/TCC/dados/brutos/localidades_ev/lucid_amp_1_casa_grande.csv,2192,2019-01-01,2024-12-31,8.666666984558105,386.2083435058594,0,0,0
GM Factory Zero,7,EUA,/workspace/scratch/442248e22d47/TCC/dados/brutos/localidades_ev/gm_factory_zero.csv,2192,2019-01-01,2024-12-31,3.4166667461395264,376.9166564941406,0,0,0
Ford Rouge Electric Vehicle Center,8,EUA,/workspace/scratch/442248e22d47/TCC/dados/brutos/localidades_ev/ford_rouge_electric_vehicle_center.csv,2192,2019-01-01,2024-12-31,3.4166667461395264,374.4583435058594,0,0,0
BMW San Luis Potosi,9,Mexico,/workspace/scratch/442248e22d47/TCC/dados/brutos/localidades_ev/bmw_san_luis_potosi.csv,2192,2019-01-01,2024-12-31,27.54166603088379,377.0,0,0,0
