tarefa,modelo,semente,epocas_selecionadas_em_2023
daily_30,XGBoost,11,0
daily_30,XGBoost,23,0
daily_30,XGBoost,42,0
daily_30,XGBoost,67,0
daily_30,XGBoost,89,0
daily_30,LSTM,11,24
daily_30,LSTM,23,29
daily_30,LSTM,42,30
daily_30,LSTM,67,19
daily_30,LSTM,89,27
daily_30,TimesNet,11,5
daily_30,TimesNet,23,4
daily_30,TimesNet,42,3
daily_30,TimesNet,67,4
daily_30,TimesNet,89,4
daily_30,DilatedRNN,11,24
daily_30,DilatedRNN,23,30
daily_30,DilatedRNN,42,29
daily_30,DilatedRNN,67,24
daily_30,DilatedRNN,89,23
