tarefa,resolucao,particao,modelo,tipo_estimativa,semente,localidade,tipo_horizonte,horizonte,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,cumulativo,1,336,336,34.387277103605726,48.573878678218705,0.1867137864408277,0.4417279360453027
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,lead_exato,1,336,336,34.387277103605726,48.573878678218705,0.1867137864408277,0.4417279360453027
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,cumulativo,3,336,1008,42.85433189074198,59.617636424157446,0.2295682837974931,0.18513732454729237
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,lead_exato,3,336,336,49.096354002044315,66.39013842487812,0.2560604075872233,0.017947540516299654
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,cumulativo,7,336,2352,47.47553466939602,64.59643653240346,0.2495990869903071,0.09186278823878491
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,lead_exato,7,336,336,51.79178974174318,69.57255962391206,0.2699405591561161,0.004386061492768545
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,cumulativo,14,336,4704,51.51881351397962,69.60206951990727,0.2700616654568974,-0.0007681097817882065
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,lead_exato,14,336,336,58.02442933831896,76.73135959393895,0.3000190473529114,-0.11714013300083792
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,cumulativo,30,336,10080,55.57509900823472,74.02283663813454,0.289129753957777,-0.05785781579021698
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,lead_exato,30,336,336,60.96230203197116,80.60296458441513,0.3180087928553146,-0.15027204776540604
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,cumulativo,1,336,336,39.72321492149716,50.701439377288324,0.2169531241265848,0.3435503296655359
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,lead_exato,1,336,336,39.72321492149716,50.701439377288324,0.2169531241265848,0.3435503296655359
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,cumulativo,3,336,1008,43.31431918674045,55.95483112611291,0.23914112114274938,0.20593258111070756
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,lead_exato,3,336,336,45.61086336771647,58.731855523596,0.2506855449763516,0.13002838503178027
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,cumulativo,7,336,2352,45.00194875237082,57.70243673186623,0.24624385496469436,0.1587124221973788
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,lead_exato,7,336,336,47.49553507850284,60.41916796885611,0.25781736883104084,0.07706075180478333
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,cumulativo,14,336,4704,46.76528836594147,59.709271774887156,0.2547524923700032,0.10165729756583752
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,lead_exato,14,336,336,48.36334260304769,60.5523260088121,0.2585119712939337,0.07555169994532551
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,cumulativo,30,336,10080,49.96248333340599,63.86990179111446,0.2727699663784559,-0.021521079278803423
daily_30,diaria,validacao_2023,Persistencia,deterministica,,BYD Camacari,lead_exato,30,336,336,54.353670256478445,68.07512019566639,0.29132473708877815,-0.15273991404086007
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Ford Rouge Electric Vehicle Center,cumulativo,1,336,336,57.699528921218146,78.03560346893863,0.4703645582380967,0.389800037460479
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Ford Rouge Electric Vehicle Center,lead_exato,1,336,336,57.699528921218146,78.03560346893863,0.4703645582380967,0.389800037460479
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Ford Rouge Electric Vehicle Center,cumulativo,3,336,1008,66.80154581675454,87.81337404428488,0.5294289081543154,0.22816756636674362
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Ford Rouge Electric Vehicle Center,lead_exato,3,336,336,71.02542149169105,91.68122987756836,0.5529409489122519,0.15997269620567955
daily_30,diaria,validacao_2023,Persistencia,deterministica,,Ford Rouge Electric Vehicle Center,cumulativo,7,336,2352,69.30128623595854,90.21374094433567,0.5436630512547738,0.18396602787353533
