ajuste,localidade,localidade_id,fim_exclusivo,N_observacoes,minimo_treino_wm2,maximo_treino_wm2,amplitude_real_wm2,amplitude_escala_wm2
ajuste_para_validacao,BYD Camacari,0,2023-01-01T00:00:00,48,160.1733856201172,308.8534851074219,148.6800994873047,148.6800994873047
ajuste_para_validacao,Tesla Gigafactory Nevada,1,2023-01-01T00:00:00,48,82.12903594970703,357.0652770996094,274.93624114990234,274.93624114990234
ajuste_para_validacao,Tesla Gigafactory Texas,2,2023-01-01T00:00:00,48,106.35752868652344,319.5107421875,213.15321350097656,213.15321350097656
ajuste_para_validacao,Hyundai Metaplant Georgia,3,2023-01-01T00:00:00,48,102.28359985351562,295.18951416015625,192.90591430664062,192.90591430664062
ajuste_para_validacao,Rivian Normal,4,2023-01-01T00:00:00,48,51.97311782836914,294.7244567871094,242.75133895874023,242.75133895874023
ajuste_para_validacao,Tesla Fremont Factory,5,2023-01-01T00:00:00,48,76.71505737304688,355.69305419921875,278.9779968261719,278.9779968261719
ajuste_para_validacao,Lucid AMP 1 Casa Grande,6,2023-01-01T00:00:00,48,117.16397857666016,361.02362060546875,243.8596420288086,243.8596420288086
ajuste_para_validacao,GM Factory Zero,7,2023-01-01T00:00:00,48,36.07795715332031,308.8861083984375,272.8081512451172,272.8081512451172
ajuste_para_validacao,Ford Rouge Electric Vehicle Center,8,2023-01-01T00:00:00,48,35.779571533203125,306.0763854980469,270.29681396484375,270.29681396484375
ajuste_para_validacao,BMW San Luis Potosi,9,2023-01-01T00:00:00,48,178.88194274902344,330.44488525390625,151.5629425048828,151.5629425048828
refit_para_teste,BYD Camacari,0,2024-01-01T00:00:00,60,154.84140014648438,308.8534851074219,154.0120849609375,154.0120849609375
refit_para_teste,Tesla Gigafactory Nevada,1,2024-01-01T00:00:00,60,82.12903594970703,357.0652770996094,274.93624114990234,274.93624114990234
refit_para_teste,Tesla Gigafactory Texas,2,2024-01-01T00:00:00,60,106.35752868652344,319.5107421875,213.15321350097656,213.15321350097656
refit_para_teste,Hyundai Metaplant Georgia,3,2024-01-01T00:00:00,60,102.28359985351562,295.18951416015625,192.90591430664062,192.90591430664062
refit_para_teste,Rivian Normal,4,2024-01-01T00:00:00,60,50.15322494506836,294.7244567871094,244.57123184204102,244.57123184204102
refit_para_teste,Tesla Fremont Factory,5,2024-01-01T00:00:00,60,76.71505737304688,355.69305419921875,278.9779968261719,278.9779968261719
refit_para_teste,Lucid AMP 1 Casa Grande,6,2024-01-01T00:00:00,60,117.16397857666016,361.4708251953125,244.30684661865234,244.30684661865234
refit_para_teste,GM Factory Zero,7,2024-01-01T00:00:00,60,36.07795715332031,308.8861083984375,272.8081512451172,272.8081512451172
refit_para_teste,Ford Rouge Electric Vehicle Center,8,2024-01-01T00:00:00,60,35.779571533203125,306.0763854980469,270.29681396484375,270.29681396484375
refit_para_teste,BMW San Luis Potosi,9,2024-01-01T00:00:00,60,134.5806427001953,330.44488525390625,195.86424255371094,195.86424255371094
