tarefa,resolucao,particao,modelo,tipo_estimativa,semente,localidade,tipo_horizonte,horizonte,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,cumulativo,1,12,12,32.10796610514323,39.68494251829888,0.15835786205276084,0.4641925559447465
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,lead_exato,1,12,12,32.10796610514323,39.68494251829888,0.15835786205276084,0.4641925559447465
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,BYD Camacari,cumulativo,1,12,12,24.046885172526043,30.34118321739833,0.1278536996035976,0.5406058375408613
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,BYD Camacari,lead_exato,1,12,12,24.046885172526043,30.34118321739833,0.1278536996035976,0.5406058375408613
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,Ford Rouge Electric Vehicle Center,cumulativo,1,12,12,38.3044376373291,45.716095485587246,0.29371464909635603,0.6678582587357424
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,Ford Rouge Electric Vehicle Center,lead_exato,1,12,12,38.3044376373291,45.716095485587246,0.29371464909635603,0.6678582587357424
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,GM Factory Zero,cumulativo,1,12,12,38.730285008748375,45.85978591283446,0.29380750653692217,0.6660202337312053
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,GM Factory Zero,lead_exato,1,12,12,38.730285008748375,45.85978591283446,0.29380750653692217,0.6660202337312053
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,Hyundai Metaplant Georgia,cumulativo,1,12,12,28.682361602783203,32.074555342538666,0.16372040157142756,0.6375225088611184
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,Hyundai Metaplant Georgia,lead_exato,1,12,12,28.682361602783203,32.074555342538666,0.16372040157142756,0.6375225088611184
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,Lucid AMP 1 Casa Grande,cumulativo,1,12,12,38.59549649556478,43.855132711756305,0.17751310854649519,0.6781151319084022
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,Lucid AMP 1 Casa Grande,lead_exato,1,12,12,38.59549649556478,43.855132711756305,0.17751310854649519,0.6781151319084022
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,Rivian Normal,cumulativo,1,12,12,39.281161308288574,47.21217190009775,0.2724955563699734,0.6681048768851696
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,Rivian Normal,lead_exato,1,12,12,39.281161308288574,47.21217190009775,0.2724955563699734,0.6681048768851696
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,Tesla Fremont Factory,cumulativo,1,12,12,44.49000358581543,51.10669361422505,0.2356812476232012,0.6560218939482123
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,Tesla Fremont Factory,lead_exato,1,12,12,44.49000358581543,51.10669361422505,0.2356812476232012,0.6560218939482123
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,Tesla Gigafactory Nevada,cumulativo,1,12,12,44.88793754577637,50.52161726235877,0.2348027049185631,0.6603934768769887
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,Tesla Gigafactory Nevada,lead_exato,1,12,12,44.88793754577637,50.52161726235877,0.2348027049185631,0.6603934768769887
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,Tesla Gigafactory Texas,cumulativo,1,12,12,32.902247746785484,39.8790559167543,0.19000806013982582,0.646755434547227
monthly_1,mensal,validacao_2023,Persistencia,deterministica,,Tesla Gigafactory Texas,lead_exato,1,12,12,32.902247746785484,39.8790559167543,0.19000806013982582,0.646755434547227
monthly_1,mensal,validacao_2023,Sazonal ingenuo,deterministica,,BMW San Luis Potosi,cumulativo,1,12,12,27.8261235555013,33.36490358438126,0.13313852720796626,0.6212636580059638
monthly_1,mensal,validacao_2023,Sazonal ingenuo,deterministica,,BMW San Luis Potosi,lead_exato,1,12,12,27.8261235555013,33.36490358438126,0.13313852720796626,0.6212636580059638
monthly_1,mensal,validacao_2023,Sazonal ingenuo,deterministica,,BYD Camacari,cumulativo,1,12,12,18.31070836385091,25.79352684792999,0.10869048216423999,0.6679970793742755
monthly_1,mensal,validacao_2023,Sazonal ingenuo,deterministica,,BYD Camacari,lead_exato,1,12,12,18.31070836385091,25.79352684792999,0.10869048216423999,0.6679970793742755
monthly_1,mensal,validacao_2023,Sazonal ingenuo,deterministica,,Ford Rouge Electric Vehicle Center,cumulativo,1,12,12,14.965703328450521,18.802996247094654,0.12080461784879754,0.9438125510376048
monthly_1,mensal,validacao_2023,Sazonal ingenuo,deterministica,,Ford Rouge Electric Vehicle Center,lead_exato,1,12,12,14.965703328450521,18.802996247094654,0.12080461784879754,0.9438125510376048
monthly_1,mensal,validacao_2023,Sazonal ingenuo,deterministica,,GM Factory Zero,cumulativo,1,12,12,15.79726473490397,19.643899597841788,0.12585155042968282,0.9387210208213934
monthly_1,mensal,validacao_2023,Sazonal ingenuo,deterministica,,GM Factory Zero,lead_exato,1,12,12,15.79726473490397,19.643899597841788,0.12585155042968282,0.9387210208213934
monthly_1,mensal,validacao_2023,Sazonal ingenuo,deterministica,,Hyundai Metaplant Georgia,cumulativo,1,12,12,15.88580067952474,20.60083388320956,0.10515428070774276,0.850469648283257
monthly_1,mensal,validacao_2023,Sazonal ingenuo,deterministica,,Hyundai Metaplant Georgia,lead_exato,1,12,12,15.88580067952474,20.60083388320956,0.10515428070774276,0.850469648283257
monthly_1,mensal,validacao_2023,Sazonal ingenuo,deterministica,,Lucid AMP 1 Casa Grande,cumulativo,1,12,12,12.901103337605795,16.235767238637195,0.06571776971034536,0.9558830647727611
monthly_1,mensal,validacao_2023,Sazonal ingenuo,deterministica,,Lucid AMP 1 Casa Grande,lead_exato,1,12,12,12.901103337605795,16.235767238637195,0.06571776971034536,0.9558830647727611
monthly_1,mensal,validacao_2023,Sazonal ingenuo,deterministica,,Rivian Normal,cumulativo,1,12,12,20.485138575236004,25.88181544033889,0.14938265736225348,0.9002570098881417
monthly_1,mensal,validacao_2023,Sazonal ingenuo,deterministica,,Rivian Normal,lead_exato,1,12,12,20.485138575236004,25.88181544033889,0.14938265736225348,0.9002570098881417
