tarefa,resolucao,particao,modelo,tipo_estimativa,semente,tipo_horizonte,horizonte,N_localidades,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2,agregacao
monthly_6,mensal,validacao_2023,Climatologia,deterministica,,cumulativo,1,10,70,70,14.95227222442627,19.303354773016487,0.0893969155404369,0.8813322883086725,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,Climatologia,deterministica,,cumulativo,3,10,70,210,15.120721535455612,19.484138346107567,0.08344058101063663,0.8118722135247751,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,Climatologia,deterministica,,cumulativo,6,10,70,420,14.926674972261702,19.27797936379967,0.08358406850714015,0.8690552075401896,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,Climatologia,deterministica,,lead_exato,1,10,70,70,14.95227222442627,19.303354773016487,0.0893969155404369,0.8813322883086725,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,Climatologia,deterministica,,lead_exato,3,10,70,70,15.386258724757601,19.679356975831077,0.0798837945594,0.5745297515687169,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,Climatologia,deterministica,,lead_exato,6,10,70,70,12.691976506369453,15.12769311085761,0.0703808208268418,0.925956495319611,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,ensemble,,cumulativo,1,10,70,70,16.43007681042402,18.916499403538594,0.0859642027784113,0.9110578676842405,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,ensemble,,cumulativo,3,10,70,210,16.472905316435007,19.934567148716404,0.08372889502655381,0.8464007400922071,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,ensemble,,cumulativo,6,10,70,420,16.802893191840734,20.412898144764533,0.08723634134007695,0.869378986133636,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,ensemble,,lead_exato,1,10,70,70,16.43007681042402,18.916499403538594,0.0859642027784113,0.9110578676842405,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,ensemble,,lead_exato,3,10,70,70,16.720194730085577,20.82415235953402,0.08279891327621795,0.6399337746764646,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,ensemble,,lead_exato,6,10,70,70,15.758976466361371,18.987047703835945,0.0901513263299807,0.9100952868381746,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,11.0,cumulativo,1,10,70,70,16.298974917146605,19.59035042019264,0.0894384714004278,0.9065932757117526,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,11.0,cumulativo,3,10,70,210,17.23455208131328,20.784168270454256,0.08758569368842711,0.8398920207364592,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,11.0,cumulativo,6,10,70,420,16.928380571963274,21.174350955239984,0.09064948138724767,0.8635077898347492,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,11.0,lead_exato,1,10,70,70,16.298974917146605,19.59035042019264,0.0894384714004278,0.9065932757117526,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,11.0,lead_exato,3,10,70,70,17.4552763741462,20.790708397401154,0.08242274382320286,0.6533885110425703,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,11.0,lead_exato,6,10,70,70,15.685751160895322,19.46537965648262,0.09335103287113672,0.9145005775931425,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,23.0,cumulativo,1,10,70,70,17.477434464831692,20.19136007775061,0.0921363195982104,0.9006046134211205,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,DilatedRNN,semente,23.0,cumulativo,3,10,70,210,17.189766684351653,20.82879488656976,0.08744367609129897,0.8327290153766086,media_aritmetica_das_metricas_por_localidade
