tarefa,resolucao,particao,modelo,tipo_estimativa,semente,tipo_horizonte,horizonte,N_localidades,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2,agregacao
daily_30,diaria,validacao_2023,Climatologia,deterministica,,cumulativo,1,2,6,6,31.866324265797935,37.76401900346579,0.19543544990250517,0.6499941911228074,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,cumulativo,3,2,6,18,49.989006678263344,55.44520465522933,0.27923414740575964,0.593727351071605,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,cumulativo,7,2,6,42,41.524555592309866,47.79030856354756,0.23930063257759768,0.6667448686908292,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,cumulativo,14,2,6,84,35.688493365333194,43.32837482428117,0.21521369859471218,0.665183647131036,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,cumulativo,30,2,6,180,34.80474595295058,43.32007935762091,0.2009823068895845,0.5907892545129738,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,lead_exato,1,2,6,6,31.866324265797935,37.76401900346579,0.19543544990250517,0.6499941911228074,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,lead_exato,3,2,6,6,63.87152560551961,66.53574951857264,0.35352691954318566,0.49415368452903996,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,lead_exato,7,2,6,6,26.045143286387123,28.818812711842682,0.1437307551701687,-0.08197680475455132,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,lead_exato,14,2,6,6,34.531249046325684,39.68533576647637,0.18983624512872377,-2.1855914727879737,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Climatologia,deterministica,,lead_exato,30,2,6,6,15.440972546736399,18.219320208130913,0.07561741147759005,0.5985138107515132,media_aritmetica_das_metricas_por_localidade
