tarefa,resolucao,particao,modelo,tipo_estimativa,semente,localidade,tipo_horizonte,horizonte,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2
hourly_72_extension,horaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,cumulativo,24,3,72,43.94444444444444,88.80154997396035,0.4635811773582617,0.8683093805592628
hourly_72_extension,horaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,lead_exato,24,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,cumulativo,48,3,144,45.236111111111114,99.34112804987782,0.47971570889277015,0.8669358997557753
hourly_72_extension,horaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,lead_exato,48,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,cumulativo,72,3,216,49.68981481481482,107.91304155215455,0.49734817622773775,0.8586326243746976
hourly_72_extension,horaria,validacao_2023,Persistencia,deterministica,,BMW San Luis Potosi,lead_exato,72,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,Sazonal ingenuo,deterministica,,BMW San Luis Potosi,cumulativo,24,3,72,49.3125,98.43217137252998,0.5138570431280568,0.8381965120748167
hourly_72_extension,horaria,validacao_2023,Sazonal ingenuo,deterministica,,BMW San Luis Potosi,lead_exato,24,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,Sazonal ingenuo,deterministica,,BMW San Luis Potosi,cumulativo,48,3,144,68.17708333333333,136.15169108795936,0.6574729549519164,0.7500524943660729
hourly_72_extension,horaria,validacao_2023,Sazonal ingenuo,deterministica,,BMW San Luis Potosi,lead_exato,48,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,Sazonal ingenuo,deterministica,,BMW San Luis Potosi,cumulativo,72,3,216,65.04166666666667,133.6751607858061,0.6160802852696805,0.783078419910273
hourly_72_extension,horaria,validacao_2023,Sazonal ingenuo,deterministica,,BMW San Luis Potosi,lead_exato,72,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,XGBoost,semente,42.0,BMW San Luis Potosi,cumulativo,24,3,72,46.52466115649117,84.0887736542485,0.4389785167565177,0.8819163454096123
hourly_72_extension,horaria,validacao_2023,XGBoost,semente,42.0,BMW San Luis Potosi,lead_exato,24,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,XGBoost,semente,42.0,BMW San Luis Potosi,cumulativo,48,3,144,45.32870899198719,83.57971450536037,0.40360425515666976,0.9058100657195429
hourly_72_extension,horaria,validacao_2023,XGBoost,semente,42.0,BMW San Luis Potosi,lead_exato,48,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,XGBoost,semente,42.0,BMW San Luis Potosi,cumulativo,72,3,216,43.789747631026394,79.84823622676339,0.3680034784599162,0.922601599846438
hourly_72_extension,horaria,validacao_2023,XGBoost,semente,42.0,BMW San Luis Potosi,lead_exato,72,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,BMW San Luis Potosi,cumulativo,24,3,72,45.363996447581385,89.35670139249343,0.4664792996127848,0.8666576806557056
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,BMW San Luis Potosi,lead_exato,24,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,BMW San Luis Potosi,cumulativo,48,3,144,45.66218405934504,91.18501521241166,0.4403300533396136,0.8878886255280222
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,BMW San Luis Potosi,lead_exato,48,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,BMW San Luis Potosi,cumulativo,72,3,216,42.3736446844651,84.00462248429606,0.38715937560774,0.914334156034212
hourly_72_extension,horaria,validacao_2023,LSTM,semente,42.0,BMW San Luis Potosi,lead_exato,72,3,3,0.0,0.0,,
