tarefa,resolucao,particao,modelo,tipo_estimativa,semente,localidade,tipo_horizonte,horizonte,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,BYD Camacari,cumulativo,1,3,3,12.028783162434896,13.551099576521638,0.05941600066164827,0.8265923811544227
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,BYD Camacari,lead_exato,1,3,3,12.028783162434896,13.551099576521638,0.05941600066164827,0.8265923811544227
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,BYD Camacari,cumulativo,3,3,9,36.26374816894531,43.55447898744004,0.19724146108122426,-0.2061451289856968
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,BYD Camacari,lead_exato,3,3,3,55.07188924153646,56.70924325489563,0.2613703312903833,-2.4168979065143277
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,BYD Camacari,cumulativo,6,3,18,54.32549540201823,66.4264865301234,0.29479380566282903,-1.282508404683461
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,BYD Camacari,lead_exato,6,3,3,72.74303181966145,80.7225308809694,0.34402703330188883,-2.4757533874717175
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,Tesla Gigafactory Nevada,cumulativo,1,3,3,44.28335316975912,55.878502427784476,0.22930192870913668,0.7376699123781045
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,Tesla Gigafactory Nevada,lead_exato,1,3,3,44.28335316975912,55.878502427784476,0.22930192870913668,0.7376699123781045
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,Tesla Gigafactory Nevada,cumulativo,3,3,9,72.37435489230685,81.2415007358692,0.3338725960440043,-0.03415626343889544
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,Tesla Gigafactory Nevada,lead_exato,3,3,3,109.53848012288411,110.90122775358594,0.4427222137847561,-3.1930954354518395
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,Tesla Gigafactory Nevada,cumulativo,6,3,18,120.0863168504503,139.08504378931283,0.5767968107691873,-1.8421044503897357
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,Tesla Gigafactory Nevada,lead_exato,6,3,3,171.674435933431,194.534150009306,0.8980309063335831,-3.148220327931644
monthly_6,mensal,validacao_2023,Sazonal ingenuo,deterministica,,BYD Camacari,cumulativo,1,3,3,7.833546956380208,10.147225741870967,0.04449141326047704,0.9027669865271056
monthly_6,mensal,validacao_2023,Sazonal ingenuo,deterministica,,BYD Camacari,lead_exato,1,3,3,7.833546956380208,10.147225741870967,0.04449141326047704,0.9027669865271056
monthly_6,mensal,validacao_2023,Sazonal ingenuo,deterministica,,BYD Camacari,cumulativo,3,3,9,12.535710652669271,15.461901248838346,0.070020995872639,0.8479943566468585
monthly_6,mensal,validacao_2023,Sazonal ingenuo,deterministica,,BYD Camacari,lead_exato,3,3,3,9.706675211588541,11.190193780860161,0.051575095836859264,0.8669547072916048
monthly_6,mensal,validacao_2023,Sazonal ingenuo,deterministica,,BYD Camacari,cumulativo,6,3,18,15.298818800184462,22.180828813808255,0.09843620038240372,0.7455014212655825
monthly_6,mensal,validacao_2023,Sazonal ingenuo,deterministica,,BYD Camacari,lead_exato,6,3,3,9.958465576171875,11.433783011548815,0.04872902776897469,0.9302668462480228
monthly_6,mensal,validacao_2023,Sazonal ingenuo,deterministica,,Tesla Gigafactory Nevada,cumulativo,1,3,3,13.859786987304688,18.646219191404583,0.07651626006348419,0.970789421497363
monthly_6,mensal,validacao_2023,Sazonal ingenuo,deterministica,,Tesla Gigafactory Nevada,lead_exato,1,3,3,13.859786987304688,18.646219191404583,0.07651626006348419,0.970789421497363
monthly_6,mensal,validacao_2023,Sazonal ingenuo,deterministica,,Tesla Gigafactory Nevada,cumulativo,3,3,9,17.194922553168404,22.050954859574762,0.09062128933525308,0.9238122597606935
monthly_6,mensal,validacao_2023,Sazonal ingenuo,deterministica,,Tesla Gigafactory Nevada,lead_exato,3,3,3,14.534093221028646,17.695140864924152,0.0706397223514869,0.8932494583267098
