Modelo,MAE_normalizado,MSE_normalizado,RMSE_normalizado,R2_normalizado,nRMSE_normalizado,nRMSE_percentual_normalizado,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2,MAE,MSE,RMSE,R2,Frequencia,Localidade,Pais,Origem
XGBoost,0.1239340505529782,0.0255717519390672,0.1599117004445492,0.3513528586868291,0.2368483171500271,23.68483171500272,39.644438769306994,2616.5360938080585,51.15208787340023,0.3521516197026056,0.2095782107735614,20.957821077356147,0.1239340505529782,0.0255717519390672,0.1599117004445492,0.3513528586868291,diaria,BYD Camacari,Brasil,oficial
MLP,0.1211762805324521,0.0241099259379327,0.1552737129649855,0.3884331987039152,0.2299789040524002,22.997890405240025,38.74868849382596,2466.878946820377,49.66768513651887,0.3892063886031147,0.2034963775073822,20.34963775073822,0.1211762805324521,0.0241099259379327,0.1552737129649855,0.3884331987039152,diaria,BYD Camacari,Brasil,oficial
RNN,0.1234498534112655,0.0250200764459973,0.1581773575642143,0.3653465315632526,0.2342795483143102,23.427954831431027,39.47303617059083,2561.0364549143646,50.60668389565122,0.3658932039480731,0.207343604239253,20.734360423925303,0.1234498534112655,0.0250200764459973,0.1581773575642143,0.3653465315632526,diaria,BYD Camacari,Brasil,oficial
LSTM,0.1269935321193074,0.0256476274536998,0.160148766631841,0.3494282179434265,0.2371994404721926,23.719944047219265,40.60033849370397,2624.713262038218,51.23195547739924,0.3501269714640949,0.209905441004834,20.9905441004834,0.1269935321193074,0.0256476274536998,0.160148766631841,0.3494282179434265,diaria,BYD Camacari,Brasil,oficial
XGBoost,0.0737150379639097,0.0103245018547393,0.1016095559223605,0.8596395569863697,0.199017348971596,19.901734897159603,28.47052443898738,1541.0811727121363,39.25660673965768,0.8596071603714047,0.1912619474592492,19.12619474592492,0.0737150379639097,0.0103245018547393,0.1016095559223605,0.8596395569863697,diaria,Tesla Gigafactory Nevada,EUA,oficial
MLP,0.0753377610237794,0.0109899875205125,0.104833141327123,0.8505923541109812,0.2053312179341723,20.53312179341724,29.06833719816802,1640.6593600292158,40.5050535122374,0.8505355652276463,0.19734449969323,19.73444996932301,0.0753377610237794,0.0109899875205125,0.104833141327123,0.8505923541109812,diaria,Tesla Gigafactory Nevada,EUA,oficial
RNN,0.0762007533796693,0.0104970747200626,0.1024552327607657,0.857293448266577,0.2006737321821936,20.06737321821936,29.43162059634236,1567.7544371665342,39.59487892602444,0.8571772200118537,0.1929100419459906,19.29100419459906,0.0762007533796693,0.0104970747200626,0.1024552327607657,0.857293448266577,diaria,Tesla Gigafactory Nevada,EUA,oficial
LSTM,0.0768416504295885,0.0115879074070939,0.1076471430512393,0.8424637004143666,0.2108428566580248,21.08428566580248,29.662730002232333,1730.6064495506896,41.6005582841227,0.8423413652478857,0.2026819038532797,20.268190385327973,0.0768416504295885,0.0115879074070939,0.1076471430512393,0.8424637004143666,diaria,Tesla Gigafactory Nevada,EUA,oficial
XGBoost,0.1229604570901746,0.0251119301294516,0.1584674418593664,0.5538990965804549,0.3060972670374238,30.60972670374238,43.65325112292131,3166.1271381375054,56.26834934612447,0.5536516415023326,0.2870560741026012,28.70560741026012,0.1229604570901746,0.0251119301294516,0.1584674418593664,0.5538990965804549,diaria,Tesla Gigafactory Texas,EUA,oficial
MLP,0.1198178398721744,0.0241158521941913,0.1552927950491953,0.5715939238798806,0.2999650880800273,29.996508808002737,42.51982744112671,3039.1409420857267,55.128404131497646,0.5715536642849417,0.2812405809913685,28.12405809913685,0.1198178398721744,0.0241158521941913,0.1552927950491953,0.5715939238798806,diaria,Tesla Gigafactory Texas,EUA,oficial
