Modelo,MAE_normalizado,MSE_normalizado,RMSE_normalizado,R2_normalizado,nRMSE_normalizado,nRMSE_percentual_normalizado,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2,MAE,MSE,RMSE,R2,Frequencia,Localidade,Pais,Origem
XGBoost,0.1296599940580176,0.0215119618145644,0.1466695667634033,0.6361022125023759,0.2773255828131845,27.73255828131845,20.08781416842591,512.9998434710872,22.64949985035182,0.6339154563163365,0.0958823111515334,9.588231115153349,0.1296599940580176,0.0215119618145644,0.1466695667634033,0.6361022125023759,mensal,BYD Camacari,Brasil,oficial
MLP,0.1129302464108594,0.0227706526316326,0.1508994785664705,0.6148101143003137,0.2853235798204728,28.53235798204728,17.43843365706672,541.6146168441985,23.27261516985572,0.6134955158695178,0.0985201502801106,9.85201502801106,0.1129302464108594,0.0227706526316326,0.1508994785664705,0.6148101143003137,mensal,BYD Camacari,Brasil,oficial
RNN,0.1086867981519442,0.0204568903820296,0.1430275860875433,0.6539498715518367,0.2704392570687544,27.04392570687544,16.737202638984762,485.2195698393887,22.027700057867797,0.6537398849692875,0.0932500410541438,9.325004105414385,0.1086867981519442,0.0204568903820296,0.1430275860875433,0.6539498715518367,mensal,BYD Camacari,Brasil,oficial
LSTM,0.1288978634035493,0.026860183456338,0.163890766842852,0.5456313368442252,0.3098877526904547,30.988775269045476,19.861658189190404,638.5026950395979,25.268610864857568,0.5443546996568731,0.1069698150210437,10.696981502104377,0.1288978634035493,0.026860183456338,0.163890766842852,0.5456313368442252,mensal,BYD Camacari,Brasil,oficial
XGBoost,0.0470226130318727,0.0050038886803197,0.0707381698965964,0.957230872039103,0.1389239316010477,13.89239316010477,12.636902515931853,369.3136406581969,19.217534718537568,0.95804818664363,0.0865050840346157,8.650508403461576,0.0470226130318727,0.0050038886803197,0.0707381698965964,0.957230872039103,mensal,Tesla Gigafactory Nevada,EUA,oficial
MLP,0.0364650237171426,0.0020919313419628,0.0457376359463719,0.9821198901562888,0.089824944822514,8.982494482251402,10.01873611161515,150.93233720166197,12.285452258735203,0.9828549922270944,0.0553012701998658,5.530127019986584,0.0364650237171426,0.0020919313419628,0.0457376359463719,0.9821198901562888,mensal,Tesla Gigafactory Nevada,EUA,oficial
RNN,0.036036614582842,0.0021938139336296,0.0468381674879538,0.9812490814955924,0.0919862980046927,9.198629800469275,9.658336330232803,154.05164248018306,12.411754206403826,0.9825006578661624,0.0558698010107544,5.586980101075442,0.036036614582842,0.0021938139336296,0.0468381674879538,0.9812490814955924,mensal,Tesla Gigafactory Nevada,EUA,oficial
LSTM,0.071693014255737,0.0062060067637303,0.0787782124938762,0.9469561546306794,0.1547139121658084,15.471391216580846,19.593506929264773,461.29158381601593,21.477699686326183,0.9476000442533766,0.0966789051482079,9.667890514820796,0.071693014255737,0.0062060067637303,0.0787782124938762,0.9469561546306794,mensal,Tesla Gigafactory Nevada,EUA,oficial
XGBoost,0.0737653717916859,0.0092004452451898,0.0959189514391702,0.8753420955915496,0.199427669840785,19.942766984078503,15.84926246096522,418.9802843867056,20.46900789942457,0.8740376168215598,0.0979907909057615,9.799079090576152,0.0737653717916859,0.0092004452451898,0.0959189514391702,0.8753420955915496,mensal,Tesla Gigafactory Texas,EUA,oficial
MLP,0.0711956306049676,0.0075037147113532,0.0866239846194644,0.8983312952506087,0.180102254515776,18.010225451577607,15.129542264418694,339.9191037747189,18.43689517719073,0.8978065985562595,0.0882625063772792,8.82625063772792,0.0711956306049676,0.0075037147113532,0.0866239846194644,0.8983312952506087,mensal,Tesla Gigafactory Texas,EUA,oficial
RNN,0.0719809380073951,0.0079376062443616,0.0890932446617679,0.8924524483248386,0.1852361594331983,18.523615943319832,15.26080204261602,361.1592273071985,19.00418973035153,0.8914209601888794,0.0909783019944336,9.097830199443363,0.0719809380073951,0.0079376062443616,0.0890932446617679,0.8924524483248386,mensal,Tesla Gigafactory Texas,EUA,oficial
LSTM,0.080667230381271,0.0100223698252714,0.1001117866450873,0.8642057437081085,0.2081451062034285,20.81451062034285,17.091596938720304,451.9992415037802,21.26027378713125,0.8641107856948362,0.1017787991245333,10.17787991245334,0.080667230381271,0.0100223698252714,0.1001117866450873,0.8642057437081085,mensal,Tesla Gigafactory Texas,EUA,oficial
XGBoost,0.0629506287509648,0.0069421228021445,0.0833194023150944,0.9139008917203488,0.1675181650767862,16.751816507678626,12.04947245176576,255.50458529052244,15.984510792968374,0.9150216908835384,0.0805890849175373,8.05890849175373,0.0629506287509648,0.0069421228021445,0.0833194023150944,0.9139008917203488,mensal,Hyundai Metaplant Georgia,EUA,oficial
MLP,0.075834013165536,0.0113697181422242,0.1066288804321994,0.8589880039093988,0.2143831316341318,21.438313163413184,14.66303448263146,420.5144479670891,20.50644893605641,0.8601410354078252,0.1033873339052687,10.33873339052687,0.075834013165536,0.0113697181422242,0.1066288804321994,0.8589880039093988,mensal,Hyundai Metaplant Georgia,EUA,oficial
RNN,0.0872470677250952,0.0122938879391795,0.1108778063418443,0.8475260638537931,0.2229258269986422,22.292582699864223,16.750138039199644,453.7345888733937,21.301046661452897,0.8490923436607927,0.1073934561067332,10.73934561067332,0.0872470677250952,0.0122938879391795,0.1108778063418443,0.8475260638537931,mensal,Hyundai Metaplant Georgia,EUA,oficial
LSTM,0.0872338722041976,0.012133308982291,0.110151300411257,0.8495176311871033,0.2214651475287016,22.14651475287016,16.919968931599907,450.5649358856404,21.226514925574577,0.8501465390329772,0.1070176895618858,10.701768956188582,0.0872338722041976,0.012133308982291,0.110151300411257,0.8495176311871033,mensal,Hyundai Metaplant Georgia,EUA,oficial
XGBoost,0.0971684746696,0.0158941403725727,0.126071965053983,0.8395180196760028,0.2372020675830495,23.72020675830495,23.793533453544157,948.2859438404143,30.794251798678506,0.8392657983653911,0.1711744909146021,17.117449091460212,0.0971684746696,0.0158941403725727,0.126071965053983,0.8395180196760028,mensal,Rivian Normal,EUA,oficial
MLP,0.0835536708359551,0.0094286547161007,0.0971012601159263,0.9047995585063447,0.1826942227366318,18.26942227366318,20.44597812001877,563.0349105289298,23.728356675693533,0.904565740508845,0.1318976476764486,13.18976476764486,0.0835536708359551,0.0094286547161007,0.0971012601159263,0.9047995585063447,mensal,Rivian Normal,EUA,oficial
RNN,0.0895009421965894,0.0117847102253118,0.1085574052071614,0.8810106372430145,0.2042487475749555,20.424874757495555,21.763897927062885,703.9953719379132,26.53291110937345,0.8806729818174518,0.1474871862879388,14.748718628793885,0.0895009421965894,0.0117847102253118,0.1085574052071614,0.8810106372430145,mensal,Rivian Normal,EUA,oficial
LSTM,0.1008556229881257,0.0173116573463507,0.1315737714985428,0.8252054538018938,0.2475536145231843,24.75536145231844,24.58839083002352,1032.7892119641338,32.137038008567835,0.8249425181084108,0.1786385704898304,17.863857048983043,0.1008556229881257,0.0173116573463507,0.1315737714985428,0.8252054538018938,mensal,Rivian Normal,EUA,oficial
XGBoost,0.037071404086421,0.0023911226891129,0.0488991072424941,0.9791240581941336,0.0946915367694551,9.46915367694551,10.353503122683664,187.97817526337727,13.710513311447436,0.9789407670498756,0.0621411250074721,6.214112500747212,0.037071404086421,0.0023911226891129,0.0488991072424941,0.9791240581941336,mensal,Tesla Fremont Factory,EUA,oficial
MLP,0.0435508848850375,0.0024360918267527,0.0493567809601953,0.978731450527157,0.095577807094457,9.557780709445709,12.439686679152487,197.8248298581897,14.065021502229907,0.9778376443463968,0.0637478874458407,6.374788744584071,0.0435508848850375,0.0024360918267527,0.0493567809601953,0.978731450527157,mensal,Tesla Fremont Factory,EUA,oficial
