data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_dilatedrnn_normalizado,ghi_previsto_dilatedrnn_wm2,ghi_previsto_deepar_exp_normalizado,ghi_previsto_deepar_exp_wm2,ghi_previsto_deepnpts_aprox_normalizado,ghi_previsto_deepnpts_aprox_wm2
2024-01-31,0.06299212598425197,0.06299212598425197,66.06854838709677,0.14168237,84.80465860214204,0.49005383,170.00629760909789,0.11328029,77.85832613441212
2024-02-29,0.4015748031496063,0.4015748031496063,147.78735632183907,0.16730972,91.0723700210332,0.48970297,169.92048667455396,0.26854932,115.83266582972902
2024-03-31,0.5039370078740157,0.5039370078740157,173.11693548387098,0.48375443,168.46564402315084,0.4915885,170.38163389333636,0.40503016,149.21195316078362
2024-04-30,0.5905511811023622,0.5905511811023622,193.85833333333332,0.80345,246.65398297434854,0.49397904,170.9662896728804,0.6705511,214.15074270298726
2024-05-31,0.8740157480314961,0.8740157480314961,264.4139784946237,0.73344916,229.53379407837508,0.4959654,171.45209487107013,0.7890432,243.1304940174344
2024-06-30,0.9448818897637795,0.9448818897637795,280.38194444444446,0.8925499,268.445251789625,0.4979834,171.94564076513052,0.91526836,274.00154077870553
2024-07-31,0.905511811023622,0.905511811023622,270.79569892473114,0.9122235,273.256859596298,0.49930122,172.2679438072267,0.90039474,270.3638802020941
2024-08-31,0.8267716535433071,0.8267716535433071,251.71774193548387,0.72485447,227.43177968840448,0.49917915,172.2380889199514,0.6670965,213.30584064654767
2024-09-30,0.6377952755905512,0.6377952755905512,206.58333333333334,0.57676756,191.21398209708354,0.4981265,171.98064153873793,0.6006059,197.04415469071878
2024-10-31,0.48031496062992124,0.48031496062992124,167.65994623655914,0.383643,143.98126903604918,0.49634537,171.54502695426345,0.37428212,141.69186712240662
2024-11-30,0.10236220472440945,0.10236220472440945,75.10833333333333,0.19833955,98.66137522118547,0.49435017,171.05705698519466,0.22435851,105.02486499609246
2024-12-31,0.047244094488188976,0.047244094488188976,61.30510752688172,0.09741173,73.97733292004635,0.49152952,170.36720937626657,0.04153566,60.31165368668735
