Frequencia,Localidade,Modelo,Status,Mensagem
diaria,BYD Camacari,DilatedRNN,ok,
diaria,BYD Camacari,DeepAR_exp,ok,
diaria,BYD Camacari,DeepNPTS_aprox,ok,
diaria,Tesla Gigafactory Nevada,DilatedRNN,ok,
diaria,Tesla Gigafactory Nevada,DeepAR_exp,ok,
diaria,Tesla Gigafactory Nevada,DeepNPTS_aprox,ok,
diaria,Tesla Gigafactory Texas,DilatedRNN,ok,
diaria,Tesla Gigafactory Texas,DeepAR_exp,ok,
diaria,Tesla Gigafactory Texas,DeepNPTS_aprox,ok,
diaria,Hyundai Metaplant Georgia,DilatedRNN,ok,
diaria,Hyundai Metaplant Georgia,DeepAR_exp,ok,
diaria,Hyundai Metaplant Georgia,DeepNPTS_aprox,ok,
diaria,Rivian Normal,DilatedRNN,ok,
diaria,Rivian Normal,DeepAR_exp,ok,
diaria,Rivian Normal,DeepNPTS_aprox,ok,
diaria,Tesla Fremont Factory,DilatedRNN,ok,
diaria,Tesla Fremont Factory,DeepAR_exp,ok,
diaria,Tesla Fremont Factory,DeepNPTS_aprox,ok,
diaria,Lucid AMP 1 Casa Grande,DilatedRNN,ok,
diaria,Lucid AMP 1 Casa Grande,DeepAR_exp,ok,
diaria,Lucid AMP 1 Casa Grande,DeepNPTS_aprox,ok,
diaria,GM Factory Zero,DilatedRNN,ok,
diaria,GM Factory Zero,DeepAR_exp,ok,
diaria,GM Factory Zero,DeepNPTS_aprox,ok,
diaria,Ford Rouge Electric Vehicle Center,DilatedRNN,ok,
diaria,Ford Rouge Electric Vehicle Center,DeepAR_exp,ok,
diaria,Ford Rouge Electric Vehicle Center,DeepNPTS_aprox,ok,
diaria,BMW San Luis Potosi,DilatedRNN,ok,
diaria,BMW San Luis Potosi,DeepAR_exp,ok,
diaria,BMW San Luis Potosi,DeepNPTS_aprox,ok,
mensal,BYD Camacari,DilatedRNN,ok,
mensal,BYD Camacari,DeepAR_exp,ok,
mensal,BYD Camacari,DeepNPTS_aprox,ok,
mensal,Tesla Gigafactory Nevada,DilatedRNN,ok,
mensal,Tesla Gigafactory Nevada,DeepAR_exp,ok,
mensal,Tesla Gigafactory Nevada,DeepNPTS_aprox,ok,
mensal,Tesla Gigafactory Texas,DilatedRNN,ok,
mensal,Tesla Gigafactory Texas,DeepAR_exp,ok,
mensal,Tesla Gigafactory Texas,DeepNPTS_aprox,ok,
mensal,Hyundai Metaplant Georgia,DilatedRNN,ok,
mensal,Hyundai Metaplant Georgia,DeepAR_exp,ok,
mensal,Hyundai Metaplant Georgia,DeepNPTS_aprox,ok,
mensal,Rivian Normal,DilatedRNN,ok,
mensal,Rivian Normal,DeepAR_exp,ok,
mensal,Rivian Normal,DeepNPTS_aprox,ok,
mensal,Tesla Fremont Factory,DilatedRNN,ok,
mensal,Tesla Fremont Factory,DeepAR_exp,ok,
mensal,Tesla Fremont Factory,DeepNPTS_aprox,ok,
mensal,Lucid AMP 1 Casa Grande,DilatedRNN,ok,
mensal,Lucid AMP 1 Casa Grande,DeepAR_exp,ok,
mensal,Lucid AMP 1 Casa Grande,DeepNPTS_aprox,ok,
mensal,GM Factory Zero,DilatedRNN,ok,
mensal,GM Factory Zero,DeepAR_exp,ok,
mensal,GM Factory Zero,DeepNPTS_aprox,ok,
mensal,Ford Rouge Electric Vehicle Center,DilatedRNN,ok,
mensal,Ford Rouge Electric Vehicle Center,DeepAR_exp,ok,
mensal,Ford Rouge Electric Vehicle Center,DeepNPTS_aprox,ok,
mensal,BMW San Luis Potosi,DilatedRNN,ok,
mensal,BMW San Luis Potosi,DeepAR_exp,ok,
mensal,BMW San Luis Potosi,DeepNPTS_aprox,ok,
