Localidade,Pais,Modelo,MAE,MSE,RMSE,R2
BYD Camacari,Brasil,XGBoost,0.12393405055297824,0.025571751939067265,0.15991170044454928,0.3513528586868291
BYD Camacari,Brasil,MLP,0.12117628053245212,0.0241099259379327,0.1552737129649855,0.38843319870391524
Tesla Gigafactory Nevada,EUA,XGBoost,0.07371503796390978,0.010324501854739323,0.10160955592236058,0.8596395569863697
Tesla Gigafactory Nevada,EUA,MLP,0.07533776102377944,0.010989987520512553,0.10483314132712304,0.8505923541109812
Tesla Gigafactory Texas,EUA,XGBoost,0.12296045709017467,0.025111930129451673,0.1584674418593664,0.5538990965804549
Tesla Gigafactory Texas,EUA,MLP,0.11981783987217448,0.024115852194191375,0.1552927950491953,0.5715939238798806
Hyundai Metaplant Georgia,EUA,XGBoost,0.13407996774610753,0.02851127378762114,0.16885281693718093,0.48003885587969697
Hyundai Metaplant Georgia,EUA,MLP,0.13005561788355366,0.0263744265017746,0.16240205202451907,0.519008618080975
Rivian Normal,EUA,XGBoost,0.13129823699126655,0.028270227006692905,0.1681375240887438,0.6134691652106696
Rivian Normal,EUA,MLP,0.12778830675235542,0.02632303688306841,0.1622437576089398,0.6400925461902397
Tesla Fremont Factory,EUA,XGBoost,0.06887958696200205,0.010425513350694327,0.10210540314152981,0.8697675047933486
Tesla Fremont Factory,EUA,MLP,0.07146819680799214,0.010534153143409884,0.10263602264024987,0.8684104079475479
Lucid AMP 1 Casa Grande,EUA,XGBoost,0.06384380205063969,0.009331844771639505,0.0966014739620442,0.816687466224308
Lucid AMP 1 Casa Grande,EUA,MLP,0.06400222501996163,0.009334248949858915,0.09661391695743898,0.8166402391205753
GM Factory Zero,EUA,XGBoost,0.1264405417256921,0.026158398663695608,0.16173558255280626,0.6322704354242815
GM Factory Zero,EUA,MLP,0.12373050265496567,0.02585076066730114,0.16078171745351255,0.6365951491774247
Ford Rouge Electric Vehicle Center,EUA,XGBoost,0.12400439646910603,0.02487297929113292,0.1577116967479994,0.6511624094057944
Ford Rouge Electric Vehicle Center,EUA,MLP,0.12215363574645867,0.025124366547843186,0.15850667666645207,0.6476367632051336
BMW San Luis Potosi,Mexico,XGBoost,0.0988343593798549,0.018143228215595473,0.1346968010592511,0.5692699083036799
BMW San Luis Potosi,Mexico,MLP,0.09638418000576016,0.01725748840273582,0.13136776013442497,0.5902978525194826
