Localidade,Pais,Lat,Lon,XGBoost_MAE_normalizado,XGBoost_RMSE_normalizado,XGBoost_MAE_wm2,XGBoost_RMSE_wm2,XGBoost_nRMSE_percentual_wm2,XGBoost_R2_wm2,MLP_MAE_normalizado,MLP_RMSE_normalizado,MLP_MAE_wm2,MLP_RMSE_wm2,MLP_nRMSE_percentual_wm2,MLP_R2_wm2,RNN_MAE_normalizado,RNN_RMSE_normalizado,RNN_MAE_wm2,RNN_RMSE_wm2,RNN_nRMSE_percentual_wm2,RNN_R2_wm2,LSTM_MAE_normalizado,LSTM_RMSE_normalizado,LSTM_MAE_wm2,LSTM_RMSE_wm2,LSTM_nRMSE_percentual_wm2,LSTM_R2_wm2,Melhor_Modelo
BYD Camacari,Brasil,-12.6733774,-38.2812339,0.12393405055297824,0.15991170044454928,39.644438769306994,51.15208787340023,20.957821077356147,0.35215161970260567,0.12117628053245212,0.1552737129649855,38.74868849382596,49.66768513651887,20.34963775073822,0.38920638860311474,0.12344985341126555,0.15817735756421436,39.47303617059083,50.60668389565122,20.734360423925306,0.3658932039480731,0.12699353211930745,0.16014876663184102,40.60033849370397,51.23195547739924,20.990544100483397,0.3501269714640949,MLP
Tesla Gigafactory Nevada,EUA,39.5403926,-119.4390524,0.07371503796390978,0.10160955592236058,28.47052443898738,39.25660673965768,19.12619474592492,0.8596071603714047,0.07533776102377944,0.10483314132712304,29.06833719816802,40.5050535122374,19.734449969323006,0.8505355652276463,0.07620075337966932,0.10245523276076574,29.431620596342356,39.594878926024435,19.29100419459906,0.8571772200118537,0.07684165042958854,0.10764714305123937,29.662730002232333,41.6005582841227,20.268190385327973,0.8423413652478857,XGBoost
Tesla Gigafactory Texas,EUA,30.2219321,-97.6187733,0.12296045709017467,0.1584674418593664,43.65325112292131,56.26834934612447,28.70560741026012,0.5536516415023326,0.11981783987217448,0.1552927950491953,42.51982744112671,55.128404131497646,28.12405809913685,0.5715536642849417,0.12116581830756236,0.15469375190367501,42.98775759930102,54.91576129309537,28.015577187421613,0.574852520399368,0.12783925338214683,0.16806178172337077,45.40106813180575,59.645995895538995,30.42873234541145,0.49845699206432315,RNN
Hyundai Metaplant Georgia,EUA,32.1605262,-81.4509985,0.13407996774610753,0.16885281693718093,47.25364198530519,59.5065418514214,31.883320327889507,0.4799370972098561,0.13005561788355366,0.16240205202451907,45.817370282616636,57.23854221756543,30.668136978631605,0.5188244189255496,0.13029246428321498,0.16154392394987752,45.873554439683254,56.93023659373566,30.50294830092289,0.5239939988388909,0.1503935802006942,0.19340572960613386,52.976708065371405,68.14828881228952,36.51352699044224,0.3179183573136737,RNN
Rivian Normal,EUA,40.5092914,-89.0545444,0.13129823699126655,0.1681375240887438,48.164248667238674,61.67088375122239,37.42935892751013,0.61334552121957,0.12778830675235542,0.1622437576089398,46.85424054181299,59.49825584482169,36.11074526773775,0.6401088468882382,0.12726620149527665,0.16348018682358328,46.653486360716215,59.950216908232555,36.38504996121198,0.6346204649763519,0.12707155398095452,0.16453323455676255,46.581342636300015,60.33128412473557,36.616327685065194,0.629960709492569,MLP
Tesla Fremont Factory,EUA,37.4926897,-121.9415083,0.06887958696200205,0.10210540314152981,25.049966460929827,37.10893420948146,18.14433392169548,0.8700692277873603,0.07146819680799214,0.10263602264024987,26.00228465631417,37.29106812873814,18.2333879115192,0.8687906744823783,0.06955928394191209,0.10236076506384097,25.310874506171576,37.196320804409204,18.187061410167615,0.8694565679616196,0.09572114551284781,0.1323139419453819,34.81146219166267,48.064737584403964,23.501150522594834,0.7820242362400882,XGBoost
Lucid AMP 1 Casa Grande,EUA,32.8568519,-111.7784376,0.06384380205063969,0.0966014739620442,24.158729097233074,36.57413443345391,15.743647093305485,0.8157634222070773,0.06400222501996163,0.09661391695743898,24.148524965129678,36.54116247901612,15.729454035214404,0.8160954547742401,0.06350951002934883,0.09638994709379213,23.98953755398936,36.47274121489333,15.70000152040542,0.8167835117570046,0.06607100070395396,0.09876743173448957,24.923583067334143,37.34975736733099,16.07752057896932,0.8078664027344656,RNN
GM Factory Zero,EUA,42.3815123,-83.0453415,0.1264405417256921,0.16173558255280626,47.23616839977722,60.430348597335616,41.6795323487314,0.6320599636510911,0.12373050265496567,0.16078171745351255,46.24920012435291,60.08798640177734,41.443401058147,0.6362172101270198,0.12307286017781546,0.15925866386853177,45.968751612763924,59.50540784974037,41.041589680769434,0.6432370714331093,0.1252297413411801,0.16162632579983618,46.77317576454501,60.395557724419135,41.65553666863322,0.6324835015081075,RNN
Ford Rouge Electric Vehicle Center,EUA,42.3056229,-83.1676332,0.12400439646910603,0.1577116967479994,46.005063799586296,58.50572586829689,40.30555105507494,0.6514800037860914,0.12215363574645867,0.15850667666645207,45.35122344057219,58.82070253882598,40.52254363292529,0.6477172552533531,0.12278663518345191,0.15776888372205908,45.572493240551985,58.53301940429443,40.324354018243,0.6511547514547913,0.12458469105980594,0.15934755642648657,46.24952306386924,59.1343865202342,40.73864565610623,0.6439498704533448,XGBoost
BMW San Luis Potosi,Mexico,21.9682649,-100.8491733,0.0988343593798549,0.1346968010592511,34.606253380691484,47.18708284118985,20.080029060835088,0.5681893809103322,0.09638418000576016,0.13136776013442497,33.77843971126959,46.005300224200695,19.577132338598688,0.5895476018190288,0.09617339761234062,0.12948085812020071,33.7143477392917,45.35204925730966,19.299147398454423,0.601121258926125,0.09900760285686248,0.1364171981169494,34.67722604102566,47.76483915619767,20.32588794629497,0.5575505104655774,RNN
