Localidade,Pais,ghi_horario_media,ghi_horario_sigma,ghi_horario_cov,ghi_horario_cov_percentual,ghi_horario_observacoes,ghi_horario_intervalo_mediano_horas,ghi_horario_fonte_estatistica
BYD Camacari,Brasil,,,,,,,indisponivel_csv_diario
Tesla Gigafactory Nevada,EUA,,,,,,,indisponivel_csv_diario
Tesla Gigafactory Texas,EUA,,,,,,,indisponivel_csv_diario
Hyundai Metaplant Georgia,EUA,,,,,,,indisponivel_csv_diario
Rivian Normal,EUA,,,,,,,indisponivel_csv_diario
Tesla Fremont Factory,EUA,,,,,,,indisponivel_csv_diario
Lucid AMP 1 Casa Grande,EUA,,,,,,,indisponivel_csv_diario
GM Factory Zero,EUA,,,,,,,indisponivel_csv_diario
Ford Rouge Electric Vehicle Center,EUA,,,,,,,indisponivel_csv_diario
BMW San Luis Potosi,Mexico,,,,,,,indisponivel_csv_diario
